Field_ID,Yield
E9UZCEA,0
1WGGS1Q,0
EG2KXE2,0
HC3GQXF,0
7AK6GFK,0
QBM8DGN,0
1H0WQXK,0
CWDN5MZ,0
PTAP92J,0
NTTFH97,0
RK81RN2,0
O3RQ62W,0
VKW2QWW,0
3FCYE8T,0
8RYV3CK,0
3NKC1DP,0
R8WPNYX,0
TOZJ2IG,0
CNLULR7,0
ELZR4UM,0
VIZYKBL,0
LZIDLI2,0
B9L85Z0,0
O0U8D1M,0
3VBIK52,0
2JFB39B,0
JFCSJF4,0
BO8JXPC,0
6SDAQZQ,0
NGD88T2,0
FT8LFH4,0
MZOCECZ,0
55GG5NQ,0
QKO0BV6,0
DRQAXC4,0
M4SFYB7,0
ENQBR9B,0
P6ECOKQ,0
JJREPX0,0
DN2B2XP,0
DJL98FI,0
OX0Q82K,0
TFXIDLZ,0
ZGMQJ7K,0
E82R8PJ,0
OYC8M3P,0
JAH5WXF,0
DL6AML6,0
GYZLLDT,0
TVFO9CM,0
7E6RO6I,0
0P7W1P8,0
D52SYLW,0
QWRRKBR,0
OH4ESIV,0
1K2VIHV,0
JXAD8LJ,0
XAJ1NTU,0
77GE28L,0
EYDZYMV,0
5SRUT7Y,0
CCMTCVJ,0
45HDPQG,0
HWOVS2Y,0
LG9FBFW,0
8NAOQY3,0
6QBUG02,0
TM7L926,0
HIE84ES,0
4E31KLF,0
69DLWQ1,0
O1ZGG6P,0
G8XP7YG,0
EP9TUM4,0
5KQU3IV,0
YBA2QFE,0
GZ8RW7R,0
ZV8ZA85,0
VJ5AX0K,0
F4CTCKU,0
9L7J242,0
MF8FTFG,0
1K2KCW1,0
12OWBF9,0
4RVRAVC,0
DTWG1BJ,0
PHX49B7,0
VN1CL1J,0
VJ3JHOH,0
7VGPPSK,0
DYMTI10,0
WZDG14H,0
LYR3N87,0
VPDCHQD,0
7SW7738,0
6C5RZ3R,0
7PXDVI7,0
P30Q0U3,0
6U7AFUR,0
D65B66Q,0
944SKD5,0
UIBV8NA,0
EID9JOD,0
JDB3E5V,0
VK9B5JY,0
4I73A4Q,0
5KBNV28,0
ETOBRKO,0
4DELPT6,0
CBY8XQ6,0
A8HRGF6,0
ZBTG13Z,0
RHIFOHE,0
CEYJV9U,0
FBK12Y9,0
GYW0UZE,0
QXVCWIE,0
MURYWA1,0
L0X2M1G,0
3RB3V6Y,0
GMTT81P,0
3BNVELA,0
0X73OGT,0
0V4C2W9,0
FJ9HZIR,0
7KYVZ3F,0
99ARRM2,0
O9EIUEW,0
IK83HLI,0
1AH9KQT,0
BH4M6ZN,0
MKA6B60,0
0TP6ZNZ,0
59FM5IS,0
CK6J25H,0
V7EFD8Z,0
G0H8H57,0
L4BZKU0,0
3P8YVLM,0
VPDZI7Y,0
0BEDPGN,0
O780K9Y,0
UUVI4N1,0
XJTCT78,0
Q30M7HS,0
Z0UKCU0,0
RTVCND5,0
A06JK7H,0
F0XSDYO,0
P2VP8TL,0
L3JFEG6,0
66PKAQX,0
JWN1Q0E,0
UKEXN7Y,0
61RNVM6,0
XWJVZLL,0
Q9BK9V3,0
15N57Y3,0
WSH7TWL,0
93XQZPL,0
E2J5SNZ,0
0VQH8RV,0
VWE8X7D,0
9AP7PPM,0
Q4OSIHB,0
01CNJBI,0
X6G8EYL,0
AQSZDWA,0
9WMQEXG,0
G00R3DI,0
W25FF0D,0
G70A7JG,0
2O1FDGL,0
0XGKRWL,0
PCX2WO1,0
6WIDHKU,0
ZQ6PI9K,0
DFQG8RU,0
OB4D4A3,0
KK2VK7Z,0
6TH3FQZ,0
8K0O0PD,0
DDMOWY3,0
HH7Z5Z5,0
IY0DW40,0
OSHARAV,0
SZCWVBD,0
X7SBATO,0
89V3EBE,0
IBJCQU2,0
IA77FT0,0
552VS1V,0
1BZ2WMK,0
CZFCMBJ,0
MAICAFG,0
AVIIWAQ,0
R20MQ4T,0
WJGPWN7,0
OBCZ8UN,0
S4DAJNI,0
NPLF94D,0
1NRMK7Z,0
ITNCN60,0
6SHN9H9,0
5O53JVV,0
SC3I5QS,0
ULZOU94,0
9KMOAPZ,0
K29MYB1,0
PY1BOJ3,0
VW9NF4Q,0
XD103QP,0
6AVVM6M,0
QRCOD7B,0
L2OB6S8,0
IZA34EE,0
ZIIUZCF,0
TEZ5L7O,0
CIN5QMN,0
S0S6VJG,0
CKTJBEQ,0
H40IQ30,0
4PWB5EG,0
1WTRZHH,0
KQJEE83,0
31HAE1D,0
WBNJ3W8,0
TDLCAHC,0
00PLSKP,0
WAHI43J,0
PL53LBS,0
VGFYH5E,0
I4JE5P1,0
PO5T84R,0
37YGZ93,0
EXIE2HK,0
4KW9P3T,0
WFWWU9Z,0
7I41J4H,0
514B8DY,0
POPYFHQ,0
3ZTRVIZ,0
TZONIB0,0
3XF69CZ,0
ECE8F6Q,0
NRT2N45,0
T120GUW,0
KTPFLMO,0
U5I1GNT,0
6R66UVC,0
GTL5GQ8,0
L685WGL,0
PMC7TX4,0
1OVAAPH,0
15S06J4,0
G7CHWNI,0
ZA5ZVGU,0
6IWI3T5,0
X3KD67T,0
Q7DD9SH,0
4KP6WAV,0
UVNQ9WJ,0
4KSOGXH,0
QBKGPRU,0
8QKI0EQ,0
I17FLO6,0
U24QCE1,0
1VVO96X,0
42G0NU1,0
8R2ZDQ2,0
BKURGO9,0
ECO0J9R,0
2BWCAPO,0
SI8JPGA,0
MTIFSMJ,0
7WCV89J,0
8OJNBWU,0
8RDT9RQ,0
G73G122,0
8RWXL50,0
1RLY1BU,0
5ZYPE0D,0
6GKM3HL,0
2UNIO6T,0
MGUIY1K,0
0HPA3ZN,0
ERSQZ97,0
8YKBECM,0
JPCHUIL,0
XSDYZSY,0
575WC95,0
DS8ZIQX,0
ZKD03CH,0
X03H66F,0
WV16GA2,0
2WOQH74,0
Y2YZVIB,0
PYQF66M,0
QRUJ8OB,0
0L8E1ID,0
Q5FCO9D,0
P6XOYSX,0
WGEKO2T,0
48RKPGJ,0
5V6D4DH,0
J5K8BDY,0
02RNO3Z,0
H48D3ZQ,0
MVZYABM,0
W3VCQWP,0
1UAW1TJ,0
B6EII69,0
IPHLGAW,0
410Y52I,0
INPZQFW,0
H9MVYFK,0
0LEKL80,0
04PICIF,0
3SO2JGI,0
3X4XOLY,0
JQCMIA8,0
B0PU5XO,0
1812PI2,0
1D8TXIN,0
E0JPJW0,0
SYG84QX,0
GLDH02M,0
8YZ0QWY,0
7YUYFIJ,0
K4BSRIV,0
6OUOBT0,0
WXMSHVL,0
WU0LSKM,0
DUCFWQ5,0
SF1VT4A,0
U352SYH,0
BIS8KNU,0
WKRKO7G,0
3JL4JB7,0
HBOU7LT,0
YIQ0JIE,0
3UQA6UV,0
AFYJD60,0
8563G5G,0
YKFDRL8,0
JVNZ3J5,0
BXV3SUA,0
QHD9YU1,0
GDXRX14,0
HMUCJJS,0
76TW5IL,0
QZCJPOW,0
6T472BL,0
6SWAE14,0
AMG60EQ,0
779XUCU,0
U5LQNHH,0
I7H1S8K,0
58YGJD2,0
BLB6M6A,0
YKQAJLY,0
DLU3GVG,0
1NPNKOY,0
LOVMNSZ,0
MUN6BPV,0
KFHX8R0,0
3IGU2M8,0
E998LY9,0
TFYM1Z1,0
0V5KWAV,0
FNQYRA7,0
LP1RQ82,0
ZXNIR8F,0
MDV1DLW,0
981QXVB,0
OH43JJM,0
MPK8FPA,0
6L3MV0O,0
70SRAYE,0
9OUNQAM,0
AVGZSTD,0
8FT7CV7,0
5Y0E20F,0
MWHKL3P,0
2QF6KRC,0
D4NBQYH,0
AY3WAKL,0
TN1IY0G,0
37532EW,0
RMRNSAW,0
O2YEQGA,0
ETTK3TL,0
TGY598G,0
65GEO4H,0
KB806Y2,0
9PJ4GXB,0
VQ3P3TC,0
CXATUT5,0
DN3RQQ3,0
7HRL66O,0
PQ0KLVC,0
UOZZ0DZ,0
C60Z3DN,0
7M5J9Y6,0
JEG9CVR,0
UMDH2FA,0
KG9GN6T,0
1552NDR,0
LM6ML8C,0
AH8ERKQ,0
2Y2RLOV,0
X0SUCQW,0
N68Y6G1,0
GOU8BB9,0
HVFJBTJ,0
5NM9968,0
NCXWOGJ,0
W8YGQ9F,0
DAZM2HB,0
GE7TPYX,0
VJESL6K,0
OFP6V42,0
BBH9M48,0
5UM1C7C,0
7XL12LY,0
FF01TNS,0
3DICOJC,0
MYBDWMS,0
Y13WYL7,0
AX9Y33M,0
MEYRRVR,0
KEF9LFQ,0
XCN781K,0
YAQI5OB,0
A7EFPRW,0
UW52XCR,0
BSBV1QR,0
Y2Q7Z9N,0
KQFF1PQ,0
AL3S00S,0
VNEUEC4,0
AM5ZFDH,0
TTIFXIS,0
8759367,0
JYDKERW,0
VRQ9P2T,0
JWR2SIS,0
I09G1QZ,0
F41QEQC,0
MKLPQE7,0
BGYGXTI,0
LOMS2XH,0
DDOV4ES,0
YLXHBFU,0
V9DI84P,0
KTAYOS9,0
4HIC1OY,0
4OO8BYW,0
IE9QEM1,0
38D13CI,0
CC742KO,0
6EMNWNX,0
0NKE0IH,0
AHHPZF4,0
DM1NTTY,0
JTERCJH,0
3HC3C5R,0
T2GWE5F,0
NQF36JY,0
RUEJZZ6,0
EWW5CPW,0
VYYQ1PI,0
8A68NDG,0
M55D48J,0
0O4ROHE,0
7SG7IMY,0
IQYCGUN,0
YH84L36,0
3G1OIAE,0
UVUI7GY,0
PE1BQKY,0
WVYG03T,0
7Z5C1TL,0
D3QAYO7,0
R7B5J4B,0
8BNTRA1,0
66LFKST,0
DNB71QD,0
VRXW27B,0
FNRIQV2,0
Q6GFAL2,0
FS6AS26,0
ZI79VOA,0
TJ8BEAV,0
2GED0MP,0
D86JQZ1,0
6KOYO0W,0
2TZY5SA,0
LO5FBG3,0
0KWNF3M,0
AM8I91H,0
9AE3NL2,0
K6C2TSU,0
JH8SANA,0
87RBUYN,0
PV7AAJA,0
5PSZDQ4,0
S3KTRD9,0
MDFXE8U,0
1JKF70V,0
XON82HC,0
6N6Y6SQ,0
CCKE41R,0
ZCGG51V,0
DMCDZL8,0
GW38VG0,0
1DN64MR,0
40BFYK6,0
AMSSXUI,0
PUKTYJE,0
JB20FUX,0
R0FTSVY,0
X4FL9DU,0
553LRX5,0
FQPZJ7T,0
2BSKUBL,0
PHIGBXE,0
XHG0ABK,0
SVLCGTZ,0
2LWFYIR,0
N9RF7VM,0
VKU1NAM,0
IGTDM5E,0
WR28TCT,0
RDDNCDM,0
8LBMW12,0
W24P1J9,0
V7DQ1ZE,0
JSIV59W,0
W34X6JQ,0
MC4MZ6F,0
16OFWWO,0
2N68M3F,0
M7ZLRT0,0
7GPWNFE,0
8NNQGX1,0
J9IL1KV,0
3FZL1CO,0
U4M3R6U,0
JV8WOC2,0
NS0RQW5,0
S1HLM8K,0
7PQRDOT,0
VGBM8KA,0
3H5QF78,0
YIT58I7,0
QL8RCEF,0
X35DMX3,0
7Z4DUYH,0
9DUCPZJ,0
S219TTE,0
ZFW7B1J,0
T1Q4ISD,0
XXHS7IP,0
GMI3HYI,0
XEPYFC0,0
23JJFVG,0
LQHFRIP,0
7M3XR3P,0
RL6FGX0,0
TAG2Y35,0
0THUDGV,0
OJ4VCU8,0
RQZ85GE,0
ZUSJGAI,0
7LOG31W,0
CPZC0T3,0
7Z6G644,0
1NIMWCD,0
SQT2BVL,0
TNJNUKX,0
HY3LHH0,0
G5G88QQ,0
05HWF0P,0
GAGNRH2,0
4HUD38Q,0
K32MY2D,0
38WGNNC,0
TFZRPJT,0
RL4LYAQ,0
N5X4WRB,0
BW7ZZDO,0
WPSGX7U,0
K6RETZR,0
4ANEBTI,0
OC6GNIQ,0
LJGBHLL,0
J7JHFDP,0
198VHY0,0
9U9OYNQ,0
LRGYAGY,0
KUNXNLI,0
1L613NA,0
DVX6LWR,0
6BXSH7C,0
I3RAOQI,0
7I0ZLQX,0
78FVUID,0
BV9X9NU,0
BG8IFKL,0
GKKMY7J,0
ERN4NFG,0
MCDM3GG,0
6V1G9IG,0
VLW6WU9,0
VIMFQ4T,0
TMS0CAV,0
PIM8119,0
5V42XD1,0
GVV6SC2,0
JTV05ZU,0
UQX7LFW,0
BTQ104U,0
97RCGF0,0
BFTM145,0
ZQR5WMG,0
FSUAELQ,0
ITXMPJC,0
U59H09J,0
JA5V60W,0
9XU0UJK,0
LA2FN3O,0
F9A6L4R,0
8ULUTUC,0
1VGNK7E,0
S38KII2,0
U86BGFD,0
P0JSUWH,0
Z944YWN,0
OQDAFX0,0
8BXYR2A,0
CPVDO3F,0
3M4ZZCG,0
KMK3J5G,0
IHBICQ6,0
I3A25NN,0
BL6YGOI,0
J2SJK94,0
H6EZ2M4,0
GY828P9,0
S9ZX175,0
5SSBPL6,0
YT0VWI4,0
0R5WALI,0
XE5XYNM,0
3ZAVWIX,0
NS4QC7O,0
VEWZV8L,0
Z6OKZXV,0
V2F2N19,0
BJQTM8B,0
WTXDD4V,0
1W37J53,0
UU6JNS9,0
9P1TQAR,0
OSP9NTA,0
26HPXQJ,0
AQYTDDQ,0
KYLAWVM,0
68RKQMD,0
HLZMWX7,0
RPNVFUI,0
75SLKCY,0
A8OXE6P,0
27UDSTK,0
WHY3W8Z,0
C78Y0KZ,0
B2S9UC7,0
ZIBO63H,0
YPFX6PE,0
9UO80OH,0
90TTI7R,0
46CAJQC,0
NESSMW4,0
0EUUTN8,0
PDSTTO0,0
8TRR3QA,0
0LPBHJF,0
FQMHVK2,0
F5EWW5D,0
0DOWLL7,0
B8ZEBZN,0
XXS1BHI,0
IH8PTAL,0
RS7BFAF,0
ZNHI6N5,0
KYL6FWS,0
5HHMSB0,0
US286CZ,0
OY94C78,0
PA2GXQ1,0
W1573NZ,0
G007SXE,0
7MM7KSV,0
SL58C2J,0
I0XL19B,0
ULKXYPW,0
SBEDE7Q,0
E283NDX,0
WS4YOWK,0
GBBPUYD,0
DUQ5WT5,0
ZAGJO30,0
MUA0PP7,0
84LOICZ,0
N2SXWF3,0
DB5CFKE,0
ZFMSFIV,0
WY8PSYM,0
3TEPIAQ,0
B1USTR2,0
8M6N92C,0
6LDCOXN,0
97NO7BY,0
LP5K6YK,0
ZRJS46Q,0
NEV7X48,0
4I56F1E,0
QIP0F98,0
US3ZZKU,0
N2PZVUS,0
0P7Y4AH,0
ROK51BB,0
5VKRIOO,0
EC31MZ1,0
J6RZIMK,0
J3LWDPF,0
T94T735,0
996JMP9,0
RMSTW9U,0
URGDIP2,0
1UI69BS,0
6OXWA9S,0
G2K8W9M,0
TOCUO76,0
QQXZUCH,0
1LLWE8V,0
QLM572H,0
237TG17,0
LNTE3XF,0
7SPMPRN,0
0J7NO1L,0
J923FO6,0
1ZG0NKQ,0
LQAST1A,0
2Z6UJRD,0
BJAS0RL,0
9A03HGA,0
JS3JUVG,0
F2JE10R,0
EBB5IV4,0
5Y0YB8K,0
LO66I43,0
4J448SR,0
KOZX1C6,0
F4FLIC9,0
A8IWPSO,0
Z1J2E7C,0
FDL18O4,0
JS3VBMD,0
C2PYDID,0
EFGUI5H,0
27CSFV7,0
LSN6C7M,0
JEFRWK1,0
21PFP8Y,0
