Field_ID,Yield
E9UZCEA,5.7148166
1WGGS1Q,7.106826
EG2KXE2,-0.18573004
HC3GQXF,6.4555607
7AK6GFK,2.2855952
QBM8DGN,4.240309
1H0WQXK,6.2843814
CWDN5MZ,6.868127
PTAP92J,5.773428
NTTFH97,6.4797835
RK81RN2,3.426559
O3RQ62W,5.2232203
VKW2QWW,5.969208
3FCYE8T,4.795541
8RYV3CK,7.7357373
3NKC1DP,4.4439135
R8WPNYX,4.5534735
TOZJ2IG,5.7508693
CNLULR7,5.139251
ELZR4UM,4.3793545
VIZYKBL,5.9103966
LZIDLI2,5.3047357
B9L85Z0,5.417872
O0U8D1M,4.115648
3VBIK52,5.5630083
2JFB39B,6.2523627
JFCSJF4,4.8228965
BO8JXPC,4.321642
6SDAQZQ,5.2978578
NGD88T2,4.541328
FT8LFH4,5.884973
MZOCECZ,2.9952092
55GG5NQ,4.473069
QKO0BV6,5.171287
DRQAXC4,3.8628237
M4SFYB7,4.849497
ENQBR9B,6.744591
P6ECOKQ,5.7114058
JJREPX0,3.0950546
DN2B2XP,3.9648173
DJL98FI,2.5564213
OX0Q82K,4.26167
TFXIDLZ,1.8107837
ZGMQJ7K,5.067073
E82R8PJ,2.716277
OYC8M3P,5.1949396
JAH5WXF,4.525266
DL6AML6,3.2946107
GYZLLDT,2.2360024
TVFO9CM,4.186527
7E6RO6I,3.5594068
0P7W1P8,3.028375
D52SYLW,2.1691804
QWRRKBR,4.0622034
OH4ESIV,1.5532855
1K2VIHV,1.6961842
JXAD8LJ,3.5023794
XAJ1NTU,1.3669064
77GE28L,3.8508785
EYDZYMV,3.148505
5SRUT7Y,1.4686596
CCMTCVJ,3.825835
45HDPQG,5.212582
HWOVS2Y,3.753795
LG9FBFW,4.655972
8NAOQY3,5.798533
6QBUG02,4.1524553
TM7L926,3.3867817
HIE84ES,5.0920634
4E31KLF,5.121422
69DLWQ1,4.6254687
O1ZGG6P,6.417822
G8XP7YG,6.8529015
EP9TUM4,3.155611
5KQU3IV,3.2842593
YBA2QFE,4.7286854
GZ8RW7R,5.3606825
ZV8ZA85,6.3948646
VJ5AX0K,3.436349
F4CTCKU,4.655712
9L7J242,5.47803
MF8FTFG,3.252685
1K2KCW1,4.8967094
12OWBF9,3.2948887
4RVRAVC,4.9003057
DTWG1BJ,2.123144
PHX49B7,2.4611812
VN1CL1J,4.7821403
VJ3JHOH,4.440195
7VGPPSK,2.7014587
DYMTI10,6.2338505
WZDG14H,7.912319
LYR3N87,4.9025435
VPDCHQD,3.7089856
7SW7738,2.9193306
6C5RZ3R,1.921596
7PXDVI7,4.492167
P30Q0U3,1.2670722
6U7AFUR,5.5967717
D65B66Q,4.0354943
944SKD5,5.238816
UIBV8NA,-1.7497125
EID9JOD,5.590399
JDB3E5V,4.114193
VK9B5JY,1.3008122
4I73A4Q,3.9511416
5KBNV28,3.8513772
ETOBRKO,1.1925051
4DELPT6,4.394156
CBY8XQ6,5.828709
A8HRGF6,2.7534747
ZBTG13Z,4.331148
RHIFOHE,3.7929745
CEYJV9U,4.2745314
FBK12Y9,5.993298
GYW0UZE,2.830731
QXVCWIE,3.4509175
MURYWA1,2.4946256
L0X2M1G,3.2750118
3RB3V6Y,4.106658
GMTT81P,5.3617697
3BNVELA,1.3416073
0X73OGT,4.125847
0V4C2W9,3.9343693
FJ9HZIR,4.7176657
7KYVZ3F,1.3226151
99ARRM2,4.5235476
O9EIUEW,4.1265755
IK83HLI,1.9344635
1AH9KQT,7.94439
BH4M6ZN,2.3867455
MKA6B60,5.6056075
0TP6ZNZ,2.7461326
59FM5IS,4.8685074
CK6J25H,9.762325
V7EFD8Z,6.5930724
G0H8H57,6.409214
L4BZKU0,1.080107
3P8YVLM,3.0004447
VPDZI7Y,6.8358426
0BEDPGN,6.15714
O780K9Y,5.2119226
UUVI4N1,4.4673033
XJTCT78,3.8823993
Q30M7HS,4.794567
Z0UKCU0,1.9564011
RTVCND5,4.121168
A06JK7H,5.9678245
F0XSDYO,5.0901623
P2VP8TL,2.881222
L3JFEG6,4.6786876
66PKAQX,4.3284073
JWN1Q0E,6.6696863
UKEXN7Y,4.548584
61RNVM6,3.776656
XWJVZLL,3.8042438
Q9BK9V3,4.6058583
15N57Y3,5.7668476
WSH7TWL,5.494818
93XQZPL,5.494818
E2J5SNZ,4.5058894
0VQH8RV,5.87532
VWE8X7D,5.151481
9AP7PPM,4.586863
Q4OSIHB,5.494818
01CNJBI,3.6486
X6G8EYL,4.3325596
AQSZDWA,4.289326
9WMQEXG,5.761942
G00R3DI,5.2822843
W25FF0D,5.852894
G70A7JG,6.685249
2O1FDGL,2.3400989
0XGKRWL,3.5356011
PCX2WO1,4.0119486
6WIDHKU,3.482113
ZQ6PI9K,2.3688164
DFQG8RU,2.9574041
OB4D4A3,3.424211
KK2VK7Z,1.5367604
6TH3FQZ,3.9984908
