Field_ID,Year,Quality,Yield
MH2O0YH,2019,3,3.6860000000000004
O9TURWL,2019,2,5.657
35AFSDD,2019,3,3.082
PM05EG9,2019,2,2.707
V7PZBCG,2019,2,2.679
003GQB5,2019,3,4.317
WFQGA56,2019,2,2.9989999999999997
O6JVV7K,2019,2,4.199
A6H2141,2019,3,3.505
MHDYMRX,2019,3,5.039
HLITY46,2019,1,2.52
1YFQH0G,2019,3,3.1719999999999997
ISS6LTN,2019,2,2.353
MIH9S00,2019,2,2.957
JK09XZW,2019,2,3.2689999999999997
881GIR9,2019,2,3.117
RBBNFVL,2019,2,2.79
R9SP9WA,2019,2,4.859
D1SPF9C,2019,2,2.568
VXG82HK,2019,2,0.986
Z511J4G,2019,3,3.498
V3I878I,2019,3,2.638
LGGDGP4,2019,2,4.456
B5WDTV5,2019,2,4.165
X7TWLOC,2019,1,5.706
9J8G69F,2019,3,4.019
HQ90MHR,2019,2,3.5469999999999997
WZCBW7T,2019,3,2.443
081SK6W,2019,3,4.315
5Z32WHD,2019,2,2.2359999999999998
AZXDI72,2019,2,3.4189999999999996
B2D3MQ6,2019,2,3.471
6HEYVY7,2019,2,4.081
MVG3NLB,2019,3,0.45799999999999996
O2X82QH,2019,3,3.285
FWQ8J5L,2019,3,2.582
MIK14WF,2019,3,3.748
4X1V7HB,2019,1,4.581
GJY0NG4,2019,3,3.16
OQ6HI79,2019,2,2.582
9A45Z97,2019,3,4.104
W2Q8T4N,2019,2,2.356
WV85J5I,2019,2,4.908
479FIY9,2019,1,3.165
LHZYG5Q,2019,3,3.658
PIWU4CS,2019,2,4.54
OBH5ITR,2019,2,3.929
EWLVTOJ,2019,3,4.817
JKK5GDH,2019,2,2.423
LD8LK6L,2019,1,4.019
QXD8FPD,2019,2,6.636
QDY0KZ9,2019,3,4.901
9X4XF4C,2019,3,6.247000000000001
KSF5GDL,2019,3,2.867
Z3Z43AD,2019,2,3.103
0EGKM00,2019,2,7.851
G17C033,2019,2,3.464
U8WO23J,2019,2,1.902
TXMYIF8,2019,2,3.408
VP7TKJZ,2019,2,6.504
