Sex,Age,DeathRate
M,20,8
M,21,8
M,22,8
M,23,8
M,24,8
M,25,9
M,26,8
M,27,10
M,28,9
M,29,11
M,30,9
M,31,10
M,32,11
M,33,10
M,34,11
M,35,12
M,36,13
M,37,14
M,38,14
M,39,15
M,40,16
M,41,18
M,42,18
M,43,19
M,44,22
M,45,24
M,46,26
M,47,31
M,48,33
M,49,39
M,50,43
F,20,3
F,21,3
F,22,3
F,23,3
F,24,3
F,25,4
F,26,3
F,27,3
F,28,4
F,29,4
F,30,4
F,31,5
F,32,5
F,33,5
F,34,6
F,35,7
F,36,8
F,37,7
F,38,9
F,39,9
F,40,11
F,41,11
F,42,13
F,43,14
F,44,15
F,45,16
F,46,19
F,47,20
F,48,21
F,49,24
F,50,27
