"Gender","Year","Age","Exposure","Deaths"
"F",1985,20,415262,131
"F",1985,21,417403,127
"F",1985,22,413045,128
"F",1985,23,404735,127
"F",1985,24,392620,117
"F",1985,25,378621,114
"F",1985,26,367408,135
"F",1985,27,358094,115
"F",1985,28,347542,151
"F",1985,29,336194,134
"F",1985,30,329897,173
"F",1985,31,330391,184
"F",1985,32,330847,182
"F",1985,33,330426,194
"F",1985,34,335953,201
"F",1985,35,347032,274
"F",1985,36,363239,296
"F",1985,37,388069,308
"F",1985,38,388645,390
"F",1985,39,350215,360
"F",1985,40,325337,400
"F",1985,41,320806,411
"F",1985,42,306595,439
"F",1985,43,284335,443
"F",1985,44,271636,482
"F",1985,45,275438,553
"F",1985,46,280832,572
"F",1985,47,279825,715
"F",1985,48,276271,777
"F",1985,49,272300,847
"F",1985,50,267220,908
"F",1986,20,409488,138
"F",1986,21,417407,120
"F",1986,22,419151,150
"F",1986,23,414300,153
"F",1986,24,405757,113
"F",1986,25,393501,128
"F",1986,26,379473,137
"F",1986,27,368401,136
"F",1986,28,359059,137
"F",1986,29,348192,157
"F",1986,30,337248,179
"F",1986,31,330744,169
"F",1986,32,331479,183
"F",1986,33,332027,190
"F",1986,34,331759,230
"F",1986,35,336848,233
"F",1986,36,347939,250
"F",1986,37,363602,292
"F",1986,38,387876,376
"F",1986,39,388486,432
"F",1986,40,350090,407
"F",1986,41,325172,398
"F",1986,42,320614,467
"F",1986,43,306315,482
"F",1986,44,283994,497
"F",1986,45,271089,555
"F",1986,46,274946,626
"F",1986,47,280354,669
"F",1986,48,279183,713
"F",1986,49,275495,849
"F",1986,50,271334,903
"F",1987,20,400756,128
"F",1987,21,411320,118
"F",1987,22,418886,116
"F",1987,23,420034,134
"F",1987,24,414846,143
"F",1987,25,406208,142
"F",1987,26,393745,138
"F",1987,27,379810,136
"F",1987,28,368776,141
"F",1987,29,359394,160
"F",1987,30,349184,159
"F",1987,31,337774,183
"F",1987,32,331472,197
"F",1987,33,332302,223
"F",1987,34,333034,229
"F",1987,35,332400,240
"F",1987,36,337683,270
"F",1987,37,348170,312
"F",1987,38,363277,301
"F",1987,39,387670,415
"F",1987,40,388028,474
"F",1987,41,349768,419
"F",1987,42,324878,436
"F",1987,43,320355,519
"F",1987,44,305954,511
"F",1987,45,283371,562
"F",1987,46,270564,598
"F",1987,47,274331,677
"F",1987,48,279651,739
"F",1987,49,278428,805
"F",1987,50,274425,893
"F",1988,20,392146,137
"F",1988,21,402328,131
"F",1988,22,412617,116
"F",1988,23,419665,134
"F",1988,24,420361,132
"F",1988,25,415071,134
"F",1988,26,406040,133
"F",1988,27,393625,150
"F",1988,28,379537,140
"F",1988,29,368640,139
"F",1988,30,360091,154
"F",1988,31,349457,204
"F",1988,32,338191,183
"F",1988,33,331964,179
"F",1988,34,332965,254
"F",1988,35,333556,259
"F",1988,36,332968,252
"F",1988,37,337738,313
"F",1988,38,347704,330
"F",1988,39,362927,354
"F",1988,40,386919,442
"F",1988,41,387683,553
"F",1988,42,349499,482
"F",1988,43,324637,505
"F",1988,44,320125,535
"F",1988,45,305342,584
"F",1988,46,282930,615
"F",1988,47,269981,634
"F",1988,48,273600,759
"F",1988,49,278948,755
"F",1988,50,277391,851
"F",1989,20,383703,114
"F",1989,21,393723,132
"F",1989,22,403649,123
"F",1989,23,413597,137
"F",1989,24,420176,144
"F",1989,25,420741,143
"F",1989,26,414972,124
"F",1989,27,405919,126
"F",1989,28,393143,161
"F",1989,29,379065,177
"F",1989,30,368975,160
"F",1989,31,360424,190
"F",1989,32,350024,178
"F",1989,33,338766,201
"F",1989,34,332614,218
"F",1989,35,333627,236
"F",1989,36,334033,268
"F",1989,37,333008,293
"F",1989,38,337261,303
"F",1989,39,347345,335
"F",1989,40,362244,396
"F",1989,41,386688,453
"F",1989,42,387607,545
"F",1989,43,349183,524
"F",1989,44,324493,572
"F",1989,45,319579,585
"F",1989,46,305025,569
"F",1989,47,282458,648
"F",1989,48,269289,701
"F",1989,49,272899,782
"F",1989,50,277970,867
"F",1990,20,376425,108
"F",1990,21,385210,134
"F",1990,22,395094,122
"F",1990,23,404757,115
"F",1990,24,414308,137
"F",1990,25,420890,141
"F",1990,26,420930,161
"F",1990,27,414970,152
"F",1990,28,405472,160
"F",1990,29,392535,159
"F",1990,30,379248,156
"F",1990,31,369443,179
"F",1990,32,361398,196
"F",1990,33,351056,192
"F",1990,34,339846,206
"F",1990,35,333586,237
"F",1990,36,334350,263
"F",1990,37,334315,286
"F",1990,38,332840,300
"F",1990,39,337275,345
"F",1990,40,347011,355
"F",1990,41,362270,451
"F",1990,42,386742,536
"F",1990,43,387314,557
"F",1990,44,348962,545
"F",1990,45,323975,607
"F",1990,46,319360,631
"F",1990,47,304650,683
"F",1990,48,281872,724
"F",1990,49,268638,711
"F",1990,50,271985,856
"F",1991,20,370294,112
"F",1991,21,377889,116
"F",1991,22,386846,141
"F",1991,23,396512,145
"F",1991,24,405790,130
"F",1991,25,415445,140
"F",1991,26,421340,143
"F",1991,27,420895,160
"F",1991,28,414500,162
"F",1991,29,404922,148
"F",1991,30,392474,160
"F",1991,31,379490,166
"F",1991,32,370287,215
"F",1991,33,362375,200
"F",1991,34,352143,235
"F",1991,35,340530,231
"F",1991,36,334321,234
"F",1991,37,334814,275
"F",1991,38,334351,294
"F",1991,39,332996,331
"F",1991,40,337135,342
"F",1991,41,347125,371
"F",1991,42,362256,468
"F",1991,43,386522,509
"F",1991,44,387155,648
"F",1991,45,347976,608
"F",1991,46,323887,638
"F",1991,47,319145,719
"F",1991,48,303999,758
"F",1991,49,281332,740
"F",1991,50,267813,748
"F",1992,20,356587,120
"F",1992,21,371805,127
"F",1992,22,379585,121
"F",1992,23,388554,122
"F",1992,24,397577,125
"F",1992,25,406951,131
"F",1992,26,415890,137
"F",1992,27,421048,124
"F",1992,28,419999,176
"F",1992,29,413679,172
"F",1992,30,404038,157
"F",1992,31,392070,196
"F",1992,32,379479,206
"F",1992,33,370446,205
"F",1992,34,362591,218
"F",1992,35,352023,256
"F",1992,36,340879,253
"F",1992,37,334705,268
"F",1992,38,334888,289
"F",1992,39,334403,328
"F",1992,40,332785,370
"F",1992,41,337136,379
"F",1992,42,346904,486
"F",1992,43,361937,470
"F",1992,44,386389,618
"F",1992,45,385635,693
"F",1992,46,347587,666
"F",1992,47,323867,685
"F",1992,48,318436,735
"F",1992,49,303380,752
"F",1992,50,280529,808
"F",1993,20,335907,119
"F",1993,21,358335,122
"F",1993,22,373560,110
"F",1993,23,381540,98
"F",1993,24,389679,126
"F",1993,25,398751,110
"F",1993,26,407748,157
"F",1993,27,416127,181
"F",1993,28,420383,174
"F",1993,29,419250,159
"F",1993,30,412660,187
"F",1993,31,403525,191
"F",1993,32,391725,219
"F",1993,33,379328,197
"F",1993,34,370245,227
"F",1993,35,362203,220
"F",1993,36,352276,263
"F",1993,37,341145,275
"F",1993,38,334978,261
"F",1993,39,335161,315
"F",1993,40,334172,370
"F",1993,41,332763,430
"F",1993,42,336926,442
"F",1993,43,346534,501
"F",1993,44,361664,548
"F",1993,45,385267,682
"F",1993,46,384766,767
"F",1993,47,347139,728
"F",1993,48,323569,733
"F",1993,49,317793,769
"F",1993,50,302495,905
"F",1994,20,317421,90
"F",1994,21,338108,102
"F",1994,22,360833,111
"F",1994,23,376231,113
"F",1994,24,383188,119
"F",1994,25,391324,122
"F",1994,26,400257,133
"F",1994,27,409083,164
"F",1994,28,416525,144
"F",1994,29,420387,171
"F",1994,30,418855,182
"F",1994,31,412494,187
"F",1994,32,403448,222
"F",1994,33,391721,224
"F",1994,34,379287,222
"F",1994,35,369869,248
"F",1994,36,362481,270
"F",1994,37,352417,282
"F",1994,38,341396,285
"F",1994,39,335415,333
"F",1994,40,335143,371
"F",1994,41,334098,410
"F",1994,42,332641,434
"F",1994,43,336667,490
"F",1994,44,346205,546
"F",1994,45,360957,638
"F",1994,46,384541,756
"F",1994,47,383520,854
"F",1994,48,346723,763
"F",1994,49,323215,805
"F",1994,50,316895,905
"F",1995,20,304066,76
"F",1995,21,319891,106
"F",1995,22,341216,100
"F",1995,23,364279,109
"F",1995,24,378347,111
"F",1995,25,385217,122
"F",1995,26,393155,135
"F",1995,27,401993,185
"F",1995,28,410199,154
"F",1995,29,417131,158
"F",1995,30,420437,186
"F",1995,31,418730,191
"F",1995,32,412428,234
"F",1995,33,403331,249
"F",1995,34,391527,245
"F",1995,35,378628,261
"F",1995,36,369857,250
"F",1995,37,362299,267
"F",1995,38,352351,320
"F",1995,39,341594,331
"F",1995,40,335485,363
"F",1995,41,335032,399
"F",1995,42,333853,426
"F",1995,43,332421,467
"F",1995,44,336370,560
"F",1995,45,345470,615
"F",1995,46,360404,667
"F",1995,47,383391,773
"F",1995,48,382459,918
"F",1995,49,346179,881
"F",1995,50,322639,935
"F",1996,20,293426,97
"F",1996,21,306603,101
"F",1996,22,322984,92
"F",1996,23,344863,105
"F",1996,24,366753,112
"F",1996,25,380598,125
"F",1996,26,387161,147
"F",1996,27,394934,154
"F",1996,28,403399,170
"F",1996,29,411283,166
"F",1996,30,417792,188
"F",1996,31,420595,182
"F",1996,32,418782,229
"F",1996,33,412359,233
"F",1996,34,403096,258
"F",1996,35,390786,262
"F",1996,36,378560,287
"F",1996,37,369513,289
