"","V1"
"1","Musanze,Mombasa,Maseno,Lome,Lagos,Koulikoro,Kigali,Kayonza,Kamembe"
"2","4.5,3.5,4.9,3.7,3.5,4.1,2.6,3.7,3.5"
"3","4.7,3.6,5.1,4.2,4,4.6,2.8,3.7,3.7"
"4","4.1,3.4,4.5,4.2,3.9,4.7,2.4,3.5,3.5"
"5","3.2,2.9,3.9,3.9,3.6,4.2,2.1,2.9,2.9"
"6","2.9,3.1,3.6,3.5,3.3,3.5,2.4,3,3.1"
"7","2.4,2.3,3.6,2.8,2.6,3,2.4,2.2,2.1"
"8","2.5,2.8,3.5,2.7,2.5,2.5,3.1,2.7,2.6"
"9","2.9,2.9,4,2.9,2.6,2.6,3.2,2.8,2.7"
"10","3.6,3.1,4.2,3,2.7,2.7,3,3,3"
"11","4,3.1,4.3,3.3,2.9,3.1,2.8,3.1,3"
"12","3.5,3.1,4.4,3.6,3.2,3.7,2.5,3.2,3.2"
"13","4,3.2,4.7,3.4,3.3,4.2,2.5,3.5,3.3"
"14","5.1,3.4,5.5,3.6,3.3,4.1,2.6,3.7,3.5"
"15","4.8,3.5,5.2,4.4,4.3,4.6,2.7,3.7,3.6"
"16","4.6,3.5,5,4.6,4.4,4.8,2.6,3.6,3.6"
"17","3.5,3.2,4.3,3.9,3.6,4.1,2.4,3.3,3.3"
"18","3.1,3.3,3.9,3.5,3.3,3.6,2.5,3.2,3.2"
"19","2.9,3,3.9,2.7,2.5,2.9,2.9,2.9,2.7"
"20","2.4,2.7,3.5,2.5,2.3,2.4,3,2.7,2.4"
"21","2.6,2.7,3.7,2.9,2.7,2.5,3,2.6,2.5"
"22","3.5,3,4,3.1,2.7,2.7,3,2.9,2.9"
"23","3.8,2.8,4,3.5,3,3.2,2.6,2.8,2.7"
"24","2.9,2.7,3.8,3.6,3.2,3.9,2.2,2.7,2.7"
"25","3.5,2.9,4.2,3.5,3.6,4.2,2.2,3.2,3"
"26","4.1,3.3,4.3,3.8,3.7,4.2,2.4,3.5,3.4"
"27","5,4,5.1,4.4,4.3,4.7,2.9,4.2,4.1"
"28","4.4,3.3,5,4.2,4,4.6,2.5,3.5,3.4"
"29","3.6,3.1,4.2,4,3.7,4,2.3,3.2,3.1"
"30","2.9,3,3.6,3.4,3.2,3.5,2.2,2.9,2.9"
"31","2.8,2.9,3.9,2.6,2.3,2.9,2.7,2.9,2.7"
"32","2.7,2.9,3.7,2.6,2.4,2.6,3.2,2.8,2.6"
"33","2.8,2.8,3.8,2.8,2.5,2.6,3.1,2.8,2.6"
"34","3.6,3,4.1,3.1,2.7,2.7,3.1,2.9,2.9"
"35","4,3,4.2,3.3,2.9,3.1,2.7,3,3"
"36","3.7,3.2,4.4,3.3,2.8,3.5,2.6,3.3,3.2"
"37","3.8,3.1,4.5,3.4,3.2,4,2.4,3.4,3.2"
"38","4.4,3.3,4.7,3.3,3.1,4.5,2.6,3.6,3.4"
"39","4.8,3.7,4.9,3.8,3.5,4.7,2.8,3.8,3.8"
"40","4.2,3.5,4.5,4.3,3.9,4.7,2.6,3.7,3.6"
"41","3.3,2.9,3.8,3.9,3.5,4,2.3,3,3"
"42","2.8,3,3.4,3.4,3.1,3.5,2.2,2.9,2.9"
"43","2.6,3,3.5,2.9,2.7,3.1,2.8,2.9,2.9"
"44","2.7,2.8,3.6,2.7,2.6,2.5,3.2,2.8,2.5"
