"","Year","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",41.3,3.7,58.5,13.4,21.1,14.4,27.8,16.3,11.79,0
"15-FEB-1960",0,"/","710:",77.2,3.7,64.6,12,21.9,15.9,27.9,16.8,15.54,0
"16-MAR-1960",0,"/","711:",82.5,3.5,70.6,11.8,21.2,15.3,27.1,17.3,14.77,0
"16-APR-1960",0,"/","712:",139.6,2.9,77.4,9.7,20.8,16,25.7,18.7,18.63,0
"16-MAY-1960",0,"/","713:",110.8,3,65.4,10.3,21,15.9,26.2,19.7,18.11,0
"16-JUN-1960",0,"/","714:",64.2,2.2,99.6,11,20.5,15,26,18.6,10.22,0
"16-JUL-1960",0,"/","715:",60,2.7,69.5,10.8,19.5,14.1,24.9,18.1,9.79,0
"16-AUG-1960",0,"/","716:",201,2.8,71.5,10.6,19.9,14.6,25.2,18.7,15.6,0
"16-SEP-1960",0,"/","717:",127.5,3,70.1,10.7,20,14.7,25.4,18.5,14.09,0
"16-OCT-1960",0,"/","718:",167.8,3.1,66,10.8,20.2,14.8,25.6,18.9,17.88,0
"16-NOV-1960",0,"/","719:",104.9,3.2,60.5,11.6,20.6,14.8,26.4,18.4,14.8,0
"16-DEC-1960",0,"/","720:",40.1,3.5,52.6,12.6,21.2,14.9,27.5,18,12.13,0
"16-JAN-1961",0,"/","721:",12.4,3.7,60.3,13.9,21.5,14.6,28.5,16.4,5.61,0
"15-FEB-1961",0,"/","722:",44.6,3.7,63.2,12.5,21.4,15.2,27.7,16.2,12.43,0
"16-MAR-1961",0,"/","723:",89.3,3.6,65.2,12.3,21.7,15.6,27.9,17.8,15.35,0
"16-APR-1961",0,"/","724:",130.3,3.3,68,10.8,21.6,16.2,27,19.2,18,0
"16-MAY-1961",0,"/","725:",106.3,3.2,61,10.7,21.7,16.4,27.1,20.3,17.96,0
"16-JUN-1961",0,"/","726:",134.6,2.9,64.5,10.9,20.5,15.1,26,19,14.81,0
"16-JUL-1961",0,"/","727:",129.6,2.7,72.5,10,19.6,14.6,24.6,18.4,14.1,0
"16-AUG-1961",0,"/","728:",173.6,2.6,76.2,9.4,19.3,14.6,24,18.3,14.66,0
"16-SEP-1961",0,"/","729:",202.5,2.9,73.4,10.1,19.8,14.8,24.9,18.2,17.62,0
"16-OCT-1961",0,"/","730:",230.9,2.8,75.3,9.8,19.9,15,24.8,18.5,20.56,0
"16-NOV-1961",0,"/","731:",387.5,2.7,78,10,19.5,14.5,24.5,17.2,26.72,0
"16-DEC-1961",0,"/","732:",48.8,3.2,60.8,11.1,19.5,14,25.1,16.1,14.55,0
"16-JAN-1962",0,"/","733:",42.5,3.5,61.2,12.6,20,13.7,26.3,14.9,12.65,0
"15-FEB-1962",0,"/","734:",10.4,4.2,46.7,14.7,21.3,14,28.7,15.2,4.51,0
"16-MAR-1962",0,"/","735:",110.8,3.5,69.3,11.8,21.2,15.3,27.1,17.2,17.03,0
"16-APR-1962",0,"/","736:",176.1,3.2,68.1,10.8,21.1,15.7,26.5,18.6,20.4,0
"16-MAY-1962",0,"/","737:",162.3,2.9,67.6,10.2,20.4,15.3,25.5,18.8,21.82,0
"16-JUN-1962",0,"/","738:",113.5,2.9,65.9,10.9,20.1,14.7,25.6,18.2,13.55,0
"16-JUL-1962",0,"/","739:",66.3,2.8,68.6,10.9,19.7,14.3,25.2,18.3,10.28,0
"16-AUG-1962",0,"/","740:",164.6,2.8,73.3,10.1,19.7,14.7,24.8,18.5,14.44,0
"16-SEP-1962",0,"/","741:",208.7,2.9,72.4,10.5,20,14.8,25.3,18.6,17.76,0
"16-OCT-1962",0,"/","742:",199.6,3,67.4,10.9,20.1,14.7,25.6,18.7,19.21,0
