"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",103,2.6,85.1,11.6,18.8,13,24.6,17.4,21.04,0
"15-FEB-1960",0,"/","710:",91.6,2.8,83,11.6,19.2,13.4,25,17.2,18.1,0
"16-MAR-1960",0,"/","711:",91.5,2.4,95.3,10.9,18.8,13.4,24.3,17.5,19.2,0
"16-APR-1960",0,"/","712:",146.1,2.1,98.9,10.2,18.6,13.5,23.7,18.1,23.89,0
"16-MAY-1960",0,"/","713:",39.6,2.4,86.8,11.3,18.9,13.3,24.6,17.6,11.78,0
"16-JUN-1960",0,"/","714:",4.7,2.4,99.4,13.1,18.7,12.2,25.3,16,3.08,0
"16-JUL-1960",0,"/","715:",2,3.1,67.3,13.2,18.4,11.8,25,14.7,1.94,0
"16-AUG-1960",0,"/","716:",29.2,3.2,72.6,12.4,19.4,13.2,25.6,15.4,6.85,0
"16-SEP-1960",0,"/","717:",67.3,3,73.7,11.7,19.1,13.3,25,16.4,11.75,0
"16-OCT-1960",0,"/","718:",99.1,2.8,77.6,11.6,19,13.2,24.8,17.4,19.51,0
"16-NOV-1960",0,"/","719:",92.2,2.5,83.8,11,18.9,13.4,24.4,18.1,20.2,0
"16-DEC-1960",0,"/","720:",79.5,2.5,83.7,12.3,19,12.9,25.2,17.7,19,0
"16-JAN-1961",0,"/","721:",59.3,2.6,91.6,13.9,19.2,12.3,26.2,17.2,16.3,0
"15-FEB-1961",0,"/","722:",84,2.7,85.6,11.5,19.1,13.4,24.9,17.5,16.91,0
"16-MAR-1961",0,"/","723:",112.5,2.6,89.8,11.6,19.2,13.4,25,17.7,21.01,0
"16-APR-1961",0,"/","724:",131.2,2.4,89.5,11.1,19.1,13.6,24.7,18.3,22.33,0
"16-MAY-1961",0,"/","725:",81.6,2.5,83.4,11.6,19.7,13.9,25.5,18.8,16.86,0
"16-JUN-1961",0,"/","726:",7.1,2.9,69.6,13,19,12.5,25.5,16.4,3.83,0
"16-JUL-1961",0,"/","727:",6.7,3,69.5,13.3,18.7,12.1,25.4,15.4,3.84,0
"16-AUG-1961",0,"/","728:",21.7,3,76.8,12.3,19.1,13,25.3,15.5,5.39,0
"16-SEP-1961",0,"/","729:",102,3,77.3,12,19.1,13.1,25.1,16.5,14.17,0
"16-OCT-1961",0,"/","730:",150.2,2.6,85.8,11.3,18.9,13.3,24.6,17.3,23.44,0
"16-NOV-1961",0,"/","731:",255.2,2.2,92.3,9.9,18,13.1,23,17.5,30,0
"16-DEC-1961",0,"/","732:",125.2,2.2,91.9,10.8,18.2,12.8,23.6,17.8,23.62,0
"16-JAN-1962",0,"/","733:",100.8,2.4,88.1,11.4,18.2,12.5,23.9,17.3,20.77,0
"15-FEB-1962",0,"/","734:",52.8,2.9,76.7,12.9,19.1,12.7,25.6,17.7,13.55,0
"16-MAR-1962",0,"/","735:",85.8,2.5,88.9,11.7,18.9,13.1,24.8,17.6,17.73,0
"16-APR-1962",0,"/","736:",98,2.3,88.8,11.5,18.9,13.2,24.7,18.5,19.71,0
"16-MAY-1962",0,"/","737:",131.8,2.2,89.7,10.9,18.6,13.2,24.1,18.3,20.02,0
"16-JUN-1962",0,"/","738:",30.1,2.7,73,12.5,18.5,12.3,24.8,16.1,8.21,0
"16-JUL-1962",0,"/","739:",3.7,3.2,66.3,14.4,18.6,11.4,25.8,14.7,3.03,0
"16-AUG-1962",0,"/","740:",56.8,3.1,78.7,12.4,19.3,13.1,25.5,15.4,11.07,0
"16-SEP-1962",0,"/","741:",115.9,3.1,73.3,12.6,19.1,12.8,25.4,16.3,15.25,0
"16-OCT-1962",0,"/","742:",180.5,2.7,82,11.6,18.5,12.7,24.3,16.9,25.56,0
"16-NOV-1962",0,"/","743:",140.3,2.6,82.5,12.1,18.7,12.7,24.8,17.4,24.85,0
"16-DEC-1962",0,"/","744:",114,2.4,86.4,11.8,18.7,12.8,24.6,18,22.5,0
"16-JAN-1963",0,"/","745:",117.6,2.6,86.7,12.1,18.7,12.7,24.8,17,22.22,0
"15-FEB-1963",0,"/","746:",100.6,2.8,81.1,12.5,19,12.8,25.3,17,18.74,0
"16-MAR-1963",0,"/","747:",109.3,2.6,89,12.1,19,13,25.1,17.5,20.64,0
"16-APR-1963",0,"/","748:",214.8,2.3,91.3,11.1,18.5,13,24.1,18,28.08,0
"16-MAY-1963",0,"/","749:",207.3,2.2,91,10.4,18.7,13.5,23.9,18.2,25.13,0
"16-JUN-1963",0,"/","750:",31.3,2.8,68.5,13,18.4,11.9,24.9,15.9,8.52,0
"16-JUL-1963",0,"/","751:",8.5,3.2,64.8,14.6,18.6,11.3,25.9,14.5,5.31,0
"16-AUG-1963",0,"/","752:",27.3,3.3,69.8,14.1,19,12,26.1,14.8,6.72,0
"16-SEP-1963",0,"/","753:",66.3,3.2,68.8,13.4,19.1,12.4,25.8,16.1,11.49,0
"16-OCT-1963",0,"/","754:",57.9,3.1,72.1,13.5,19.3,12.6,26.1,17,14.66,0
"16-NOV-1963",0,"/","755:",158,2.3,88.9,10.4,18.4,13.2,23.6,17.6,26.14,0
"16-DEC-1963",0,"/","756:",202,2.3,88.2,11.3,18.5,12.9,24.2,17.6,28.11,0
"16-JAN-1964",0,"/","757:",63.6,2.6,85.5,12.5,19,12.8,25.3,17.4,16.83,0
"15-FEB-1964",0,"/","758:",123.6,2.8,81.7,12.1,19.2,13.2,25.3,17.5,20.71,0
"16-MAR-1964",0,"/","759:",113.7,2.6,88.2,11.8,19.3,13.4,25.2,17.8,21.1,0
"16-APR-1964",0,"/","760:",206.7,2.2,93,10.5,18.9,13.7,24.2,18.6,27.87,0
"16-MAY-1964",0,"/","761:",40.5,2.4,83.1,12,18.8,12.8,24.8,17.8,12.32,0
"16-JUN-1964",0,"/","762:",30.5,2.8,68.9,13,18.5,12,25,16,8.55,0
"16-JUL-1964",0,"/","763:",28.1,3.1,67.6,14.1,18.2,11.2,25.3,14.6,13.55,0
"16-AUG-1964",0,"/","764:",34.8,3.1,74.4,13,18.8,12.3,25.3,14.9,8.72,0
"16-SEP-1964",0,"/","765:",75.5,3.1,72.5,12.8,18.6,12.2,25,15.8,11.91,0
"16-OCT-1964",0,"/","766:",102.8,2.8,78.7,12.3,18.5,12.4,24.7,16.6,19.89,0
"16-NOV-1964",0,"/","767:",111.9,2.7,80.3,12.2,18.8,12.7,24.9,17.5,22.48,0
"16-DEC-1964",0,"/","768:",99,2.5,85.2,12.3,18.6,12.5,24.8,17.5,21.3,0
"16-JAN-1965",0,"/","769:",27.3,2.8,80.1,13.4,18.7,12,25.4,16.9,11.21,0
"15-FEB-1965",0,"/","770:",59.1,2.8,79.3,12.8,18.6,12.2,25,16.9,14.81,0
"16-MAR-1965",0,"/","771:",140.2,2.5,91.5,11.7,19.1,13.3,25,17.5,22.91,0
"16-APR-1965",0,"/","772:",161,2.3,90.1,11.2,18.7,13.1,24.3,18.2,24.99,0
"16-MAY-1965",0,"/","773:",70.5,2.4,82.6,11.9,18.9,13,24.9,18,15.95,0
"16-JUN-1965",0,"/","774:",9.2,3,60.3,14,18.4,11.4,25.4,15.6,4.07,0
"16-JUL-1965",0,"/","775:",1.3,3.3,63,14.5,18.6,11.4,25.9,14.3,1.43,0
"16-AUG-1965",0,"/","776:",27.2,3.2,72.3,13.4,19.1,12.4,25.8,15.2,7.46,0
"16-SEP-1965",0,"/","777:",89.3,3.1,71.4,12.8,19.3,12.9,25.7,16.7,13.39,0
"16-OCT-1965",0,"/","778:",87.6,2.8,78.7,12.2,18.8,12.7,24.9,17,18.1,0
"16-NOV-1965",0,"/","779:",110.7,2.5,84.2,11.5,18.9,13.2,24.7,18,21.98,0
"16-DEC-1965",0,"/","780:",88.1,2.5,83,12,18.9,12.9,24.9,17.9,19.99,0
"16-JAN-1966",0,"/","781:",71.8,2.7,82.8,12.8,19.3,12.9,25.7,17.4,17.91,0
"15-FEB-1966",0,"/","782:",116.9,2.6,87.5,11.2,19.4,13.8,25,17.9,19.92,0
"16-MAR-1966",0,"/","783:",138,2.4,93.5,11,19.2,13.7,24.7,18.3,23.17,0
"16-APR-1966",0,"/","784:",129.6,2.3,89.3,11.2,18.7,13.1,24.3,18.2,22.62,0
"16-MAY-1966",0,"/","785:",47.6,2.5,80.2,12.6,19.2,12.9,25.5,18.1,12.95,0
"16-JUN-1966",0,"/","786:",15.1,2.9,65.3,13.2,18.9,12.3,25.5,16.9,5.77,0
"16-JUL-1966",0,"/","787:",0.9,3.1,67,14.3,18.7,11.6,25.9,15.1,0.85,0
"16-AUG-1966",0,"/","788:",64.2,3.2,73.4,13.1,19.4,12.9,26,15.4,11.47,0
"16-SEP-1966",0,"/","789:",89.7,3.1,74,12.2,19.2,13.1,25.3,16.5,13.63,0
"16-OCT-1966",0,"/","790:",86.5,2.9,77.5,12.3,19,12.9,25.2,17.2,18.42,0
"16-NOV-1966",0,"/","791:",132.1,2.5,84.2,11.5,18.7,13,24.5,17.6,24.11,0
"16-DEC-1966",0,"/","792:",62,2.5,82,12.4,18.9,12.7,25.1,17.9,16.92,0
"16-JAN-1967",0,"/","793:",36.2,2.7,82.1,13.2,18.9,12.3,25.5,17.4,12.94,0
"15-FEB-1967",0,"/","794:",31.2,2.9,78,12.7,19.4,13.1,25.8,17.5,11.18,0
"16-MAR-1967",0,"/","795:",103.4,2.7,85.9,12.3,19.4,13.3,25.6,17.7,20.27,0
"16-APR-1967",0,"/","796:",150.1,2.4,85.2,11.1,19.1,13.6,24.7,18.8,23.99,0
"16-MAY-1967",0,"/","797:",140.7,2.2,88.3,10.5,18.7,13.5,24,18.4,21.48,0
"16-JUN-1967",0,"/","798:",27.7,2.8,66.5,13,18.3,11.8,24.8,16.3,6.38,0
"16-JUL-1967",0,"/","799:",5.6,3.1,68.1,13.7,18.4,11.6,25.3,14.8,4.3,0
"16-AUG-1967",0,"/","800:",8.6,3.2,70.9,13.7,18.9,12.1,25.8,15.1,3.89,0
"16-SEP-1967",0,"/","801:",76.6,3,75.3,12.1,18.8,12.8,24.9,16.2,11.95,0
"16-OCT-1967",0,"/","802:",129.3,2.8,80.6,11.9,18.8,12.9,24.8,16.9,21.75,0
"16-NOV-1967",0,"/","803:",164.7,2.3,88.8,10.7,18.4,13.1,23.8,17.8,26.8,0
"16-DEC-1967",0,"/","804:",100.9,2.4,84.7,11.4,18.6,12.9,24.3,17.8,21.42,0
"16-JAN-1968",0,"/","805:",56.3,2.6,81.6,12.8,18.4,12,24.8,16.9,15.56,0
"15-FEB-1968",0,"/","806:",160.3,2.7,83.1,11.5,18.7,13,24.5,17.3,21.72,0
"16-MAR-1968",0,"/","807:",144.7,2.4,89.4,11.4,18.4,12.7,24.1,17.4,23.7,0
"16-APR-1968",0,"/","808:",156.9,2.2,91.4,10.5,18.2,13,23.5,18,24.66,0
"16-MAY-1968",0,"/","809:",85.8,2.3,83.3,11.6,18.3,12.5,24.1,17.8,17.38,0
"16-JUN-1968",0,"/","810:",63.9,2.7,72.2,12.6,18.1,11.8,24.4,15.8,12.9,0
"16-JUL-1968",0,"/","811:",8.3,3.2,64.7,14.6,18.2,10.9,25.5,14.3,5.47,0
"16-AUG-1968",0,"/","812:",6.9,3.2,71,13.9,18.7,11.8,25.7,14.8,2.82,0
"16-SEP-1968",0,"/","813:",69.6,3.3,65.9,13.9,18.9,12,25.9,15.9,11.51,0
"16-OCT-1968",0,"/","814:",93.5,2.9,76.1,12.8,18.7,12.3,25.1,16.6,19.1,0
"16-NOV-1968",0,"/","815:",135.3,2.5,83.8,11.7,18.7,12.9,24.6,17.9,24.57,0
"16-DEC-1968",0,"/","816:",64.4,2.4,88.3,11.5,18.8,13.1,24.6,17.9,17.2,0
"16-JAN-1969",0,"/","817:",102.2,2.5,87.8,12.2,18.9,12.8,25,17.3,21.03,0
"15-FEB-1969",0,"/","818:",153.7,2.6,84.5,11.8,19.1,13.2,25,17.9,22.75,0
"16-MAR-1969",0,"/","819:",97.6,2.5,88.9,12,19.2,13.2,25.2,18.2,19.87,0
"16-APR-1969",0,"/","820:",112.3,2.6,81.2,12.2,19.6,13.5,25.7,18.9,21.21,0
"16-MAY-1969",0,"/","821:",132.2,2.3,86.3,11.4,19.1,13.4,24.8,18.6,21.18,0
"16-JUN-1969",0,"/","822:",3,2.9,66.5,13.3,18.8,12.2,25.5,16.6,1.93,0
"16-JUL-1969",0,"/","823:",1.5,3.3,59.5,15.2,18.6,11,26.2,15,1.09,0
"16-AUG-1969",0,"/","824:",14.9,3.4,65.1,14.8,19.3,11.9,26.7,15.2,5.48,0
"16-SEP-1969",0,"/","825:",56.2,3.2,69.9,13.4,19.4,12.7,26.1,16.5,10.59,0
"16-OCT-1969",0,"/","826:",75.1,3,76.6,12.8,19.4,13,25.8,17.5,17.19,0
"16-NOV-1969",0,"/","827:",109.3,2.6,82.5,12,19,13,25,17.9,22.34,0
"16-DEC-1969",0,"/","828:",57.9,2.6,83,12.4,18.9,12.7,25.1,17.6,16.44,0
"16-JAN-1970",0,"/","829:",105,2.5,87.1,11.8,18.9,13,24.8,17.7,21.26,0
"15-FEB-1970",0,"/","830:",66.4,2.8,81.1,12.4,19.7,13.5,25.9,18.2,15.5,0
"16-MAR-1970",0,"/","831:",161.4,2.5,92.3,11.3,19.2,13.6,24.9,17.9,24.62,0
"16-APR-1970",0,"/","832:",173.7,2.3,90.6,11,19,13.5,24.5,18.5,25.98,0
"16-MAY-1970",0,"/","833:",76.8,2.4,84.8,11.6,18.7,12.9,24.5,17.6,16.15,0
"16-JUN-1970",0,"/","834:",6.4,2.9,65.5,13.3,18.7,12.1,25.4,16.5,3.32,0
"16-JUL-1970",0,"/","835:",10.4,3.1,67.3,13.9,18.6,11.7,25.6,14.8,6.29,0
"16-AUG-1970",0,"/","836:",45.4,3.1,76.3,12.6,19,12.7,25.3,15,9.31,0
"16-SEP-1970",0,"/","837:",63.9,3.2,71.1,13.2,19.1,12.5,25.7,16.2,11.39,0
"16-OCT-1970",0,"/","838:",76.3,3,76,12.9,18.9,12.5,25.4,16.6,17.17,0
"16-NOV-1970",0,"/","839:",112.6,2.6,82.6,11.7,18.9,13.1,24.8,17.6,22.4,0
"16-DEC-1970",0,"/","840:",65.9,2.4,86,11.3,18.4,12.8,24.1,17.5,17.59,0
"16-JAN-1971",0,"/","841:",85.2,2.7,82.5,12.7,18.7,12.4,25.1,16.9,19.18,0
"15-FEB-1971",0,"/","842:",62.9,2.8,76.4,12.7,18.8,12.5,25.2,17.4,15.03,0
"16-MAR-1971",0,"/","843:",111.4,2.8,82.1,12.7,19.2,12.9,25.6,17.3,20.61,0
"16-APR-1971",0,"/","844:",167.6,2.3,89.2,10.8,18.8,13.4,24.2,18.3,25.41,0
"16-MAY-1971",0,"/","845:",119.3,2.4,83.3,11.4,18.7,13,24.4,17.9,20.12,0
"16-JUN-1971",0,"/","846:",8.1,3,60.8,14.2,18,10.9,25.1,15.5,3.45,0
"16-JUL-1971",0,"/","847:",23.1,3.1,66.6,13.8,18.4,11.5,25.3,14.6,11.53,0
"16-AUG-1971",0,"/","848:",53,3.2,73.6,13.2,19,12.4,25.6,14.7,10.72,0
"16-SEP-1971",0,"/","849:",62.5,3.1,71,13.1,18.9,12.4,25.5,16.2,11.36,0
"16-OCT-1971",0,"/","850:",85.7,2.9,77.1,12.3,18.7,12.6,24.9,16.6,18.14,0
"16-NOV-1971",0,"/","851:",124.9,2.5,84.4,11.6,18.7,12.9,24.5,17.3,23.51,0
"16-DEC-1971",0,"/","852:",83.1,2.4,85.6,11.7,18.4,12.6,24.3,17.5,18.76,0
"16-JAN-1972",0,"/","853:",97.5,2.7,84.4,12.8,18.8,12.4,25.2,16.8,20.18,0
"15-FEB-1972",0,"/","854:",112.7,2.6,83.6,11.7,18.4,12.6,24.3,17.2,19.89,0
"16-MAR-1972",0,"/","855:",93.4,2.7,85.9,12.6,19.1,12.8,25.4,17.4,19.41,0
"16-APR-1972",0,"/","856:",113.6,2.5,85.2,12.1,19,13,25.1,17.6,21.07,0
"16-MAY-1972",0,"/","857:",125.4,2.3,86,11.3,19.1,13.5,24.8,18.4,20.56,0
"16-JUN-1972",0,"/","858:",88.7,2.6,78.6,11.6,18.6,12.8,24.4,16.5,14.78,0
"16-JUL-1972",0,"/","859:",0.2,3.1,66.5,13.6,18.9,12.1,25.7,15.2,0.46,0
"16-AUG-1972",0,"/","860:",41.7,3.2,73.4,13.3,19.4,12.8,26.1,15.3,9.62,0
"16-SEP-1972",0,"/","861:",68.2,3.2,70.9,13,19.4,12.9,25.9,16.5,11.97,0
"16-OCT-1972",0,"/","862:",90.6,2.9,78.7,12.1,19.1,13.1,25.2,17.3,18.75,0
"16-NOV-1972",0,"/","863:",150.4,2.4,86.6,10.9,18.6,13.2,24.1,17.7,25.69,0
"16-DEC-1972",0,"/","864:",99.7,2.5,85.5,11.8,18.9,13,24.8,17.9,21.35,0
"16-JAN-1973",0,"/","865:",55,2.6,83.8,12.3,19.1,13,25.3,17.6,15.45,0
"15-FEB-1973",0,"/","866:",91.6,3,75.6,13.5,19.6,12.9,26.4,17.8,18.21,0
"16-MAR-1973",0,"/","867:",97.9,2.9,79.5,12.9,19.7,13.3,26.2,18.2,19.71,0
"16-APR-1973",0,"/","868:",134.1,2.6,80.9,11.7,19.3,13.5,25.2,18.5,23.05,0
"16-MAY-1973",0,"/","869:",131.3,2.5,82.5,12.1,19,13,25.1,17.9,21.11,0
"16-JUN-1973",0,"/","870:",9.8,2.8,69.3,12.5,18.7,12.5,25,16.6,4.31,0
"16-JUL-1973",0,"/","871:",0.6,3.2,63.4,14.9,18.4,11,25.9,14.7,0.96,0
"16-AUG-1973",0,"/","872:",28.4,3.2,72.4,13.4,19.3,12.6,26,15.5,6.66,0
"16-SEP-1973",0,"/","873:",155.8,3,76.2,12,19.1,13.1,25.1,16.4,17.43,0
"16-OCT-1973",0,"/","874:",86.3,3,76.1,12.7,19.3,13,25.7,17.4,18.39,0
"16-NOV-1973",0,"/","875:",157.7,2.7,80.3,11.9,18.8,12.9,24.8,17.4,25.99,0
"16-DEC-1973",0,"/","876:",80.7,2.6,80.5,12.4,18.6,12.4,24.8,17.5,19.15,0
