"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",0,4.1,46.3,17.4,22.6,13.9,31.3,9.8,0,0
"15-FEB-1960",0,"/","710:",0.7,4.6,48.8,16.7,23.9,15.6,32.3,9.2,0,0
"16-MAR-1960",0,"/","711:",21.7,4.7,60,15,26.2,18.7,33.7,13.8,4.32,0
"16-APR-1960",0,"/","712:",149.9,4.2,67.5,12.3,26.2,20.1,32.4,19.5,13.61,0
"16-MAY-1960",0,"/","713:",176.9,3.5,71.3,11.1,24.9,19.4,30.5,22.8,16.71,0
"16-JUN-1960",0,"/","714:",191.8,3,77.3,9.9,23.7,18.8,28.7,22.7,17.71,0
"16-JUL-1960",0,"/","715:",293.7,2.5,87.5,9,22.4,17.9,26.9,22.7,21.38,0
"16-AUG-1960",0,"/","716:",252.4,2.6,88.8,8.8,23.3,18.9,27.7,23.4,20.05,0
"16-SEP-1960",0,"/","717:",325.3,2.7,83.8,9.5,23,18.3,27.8,23,23.34,0
"16-OCT-1960",0,"/","718:",201.6,3.1,72.5,11.9,23.7,17.8,29.7,21.8,15.84,0
"16-NOV-1960",0,"/","719:",28.4,3.7,53.8,15.2,23.1,15.5,30.7,15.4,1.32,0
"16-DEC-1960",0,"/","720:",0,4.2,45,17.1,23.5,15,32.1,11.7,0,0
"16-JAN-1961",0,"/","721:",0,4.1,48.9,16.3,22.8,14.7,31,9.9,0,0
"15-FEB-1961",0,"/","722:",0.7,4.6,48.7,17.2,23,14.4,31.6,8.3,0,0
"16-MAR-1961",0,"/","723:",3,4.8,55.6,15.8,26.4,18.5,34.3,13.8,0.73,0
"16-APR-1961",0,"/","724:",98.2,4.1,68.7,11.8,25.8,19.9,31.7,18.8,10.95,0
"16-MAY-1961",0,"/","725:",113.6,3.6,69.4,11.8,25.4,19.5,31.3,22.5,13.1,0
"16-JUN-1961",0,"/","726:",208.4,2.9,78.4,9.7,23.7,18.9,28.6,23,18.29,0
"16-JUL-1961",0,"/","727:",290.1,2.4,88.2,8.5,22.2,18,26.5,22.9,21.21,0
