"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",21.5,3.5,72.5,10.2,27.5,22.4,32.6,26.7,2.15,0
"15-FEB-1960",0,"/","710:",54.9,4,70,10.2,28.8,23.7,33.9,28.9,2.86,0
"16-MAR-1960",0,"/","711:",56.7,3.9,71.3,9.2,28.5,23.9,33.1,29.6,7.06,0
"16-APR-1960",0,"/","712:",234.8,3.6,73.8,8.6,27.3,23,31.6,28.9,11.03,0
"16-MAY-1960",0,"/","713:",197,3.3,77.5,8.1,27.3,23.3,31.4,29.9,11.72,0
"16-JUN-1960",0,"/","714:",287.4,2.6,91.3,7.3,25.7,22.1,29.4,28.5,18.04,0
"16-JUL-1960",0,"/","715:",56.3,2.5,95,6,25.4,22.4,28.4,28,9.31,0
"16-AUG-1960",0,"/","716:",78.1,2.6,93.8,6.3,25.4,22.3,28.6,27.5,12.17,0
"16-SEP-1960",0,"/","717:",165.8,2.7,92.5,6.7,25.9,22.6,29.3,28.4,15.19,0
"16-OCT-1960",0,"/","718:",211.7,2.9,82.5,7.8,26.4,22.5,30.3,28.9,13.36,0
"16-NOV-1960",0,"/","719:",52,3.2,71.3,8.9,27.3,22.9,31.8,29.3,8.92,0
"16-DEC-1960",0,"/","720:",39.3,3.3,67.5,9.5,27.8,23.1,32.6,28.6,2.59,0
"16-JAN-1961",0,"/","721:",17.8,3.3,77,9.6,27.8,23,32.6,27.3,3.29,0
"15-FEB-1961",0,"/","722:",2.2,4.3,60.3,11.8,28.3,22.4,34.2,27.4,0.79,0
"16-MAR-1961",0,"/","723:",123,4.4,68.8,9.8,29.5,24.6,34.4,28.8,7.14,0
"16-APR-1961",0,"/","724:",189.5,3.6,73.6,8.7,27.8,23.5,32.2,30.4,10.98,0
"16-MAY-1961",0,"/","725:",146.2,3.3,76.4,8.6,27.5,23.2,31.8,30.7,11.33,0
"16-JUN-1961",0,"/","726:",393.4,2.5,92.4,7.6,25.4,21.6,29.2,28.4,17.13,0
"16-JUL-1961",0,"/","727:",157.5,2.3,98.3,5.4,24.9,22.2,27.6,27.8,14.06,0
"16-AUG-1961",0,"/","728:",2.7,2.7,90.5,7,24.4,20.9,27.9,25.8,4.38,0
"16-SEP-1961",0,"/","729:",91.3,2.7,90,7.2,25.2,21.6,28.8,27.2,12.17,0
"16-OCT-1961",0,"/","730:",197.5,3,80.9,8.4,26.6,22.4,30.8,28.9,11.17,0
"16-NOV-1961",0,"/","731:",57.9,3.2,70.7,9.1,27.5,23,32.1,29.4,4.9,0
"16-DEC-1961",0,"/","732:",17.5,3.6,59.2,11.1,27.2,21.7,32.8,26.8,1.24,0
"16-JAN-1962",0,"/","733:",4.2,3.7,63.5,11.3,27.6,22,33.3,27.5,1.14,0
"15-FEB-1962",0,"/","734:",15.7,4.3,64,11.3,28.8,23.2,34.5,28.1,1.42,0
"16-MAR-1962",0,"/","735:",150.7,4,71.5,9.2,28.9,24.3,33.5,30.2,8.76,0
