"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",72.8,4.8,57.5,14.3,22.8,15.7,30,15.4,13.6,0
"15-FEB-1960",0,"/","710:",70.9,4.8,62.3,14.1,23.2,16.2,30.3,16.4,14.35,0
"16-MAR-1960",0,"/","711:",293.5,4.3,74.4,13.5,22.7,16,29.5,16.7,24.69,0
"16-APR-1960",0,"/","712:",247.7,3.7,77,11.5,22.1,16.4,27.9,17.7,24.92,0
"16-MAY-1960",0,"/","713:",164.8,3.5,69.5,11.4,22.3,16.6,28,18.4,19.31,0
"16-JUN-1960",0,"/","714:",82.6,3.2,89.2,12,21.5,15.5,27.5,16.5,12.93,0
"16-JUL-1960",0,"/","715:",66.5,3.6,63.8,12.1,21,15,27.1,16.1,11.78,0
"16-AUG-1960",0,"/","716:",75.1,4,63.5,12.7,21.7,15.4,28.1,16.2,12.43,0
"16-SEP-1960",0,"/","717:",117,4.5,61,13.7,21.9,15.1,28.8,15.6,15.78,0
"16-OCT-1960",0,"/","718:",96.7,4.6,65.8,14,22.7,15.7,29.7,15.4,16.59,0
"16-NOV-1960",0,"/","719:",88.9,4.3,68.5,13.3,22.6,16,29.3,16.4,16.97,0
"16-DEC-1960",0,"/","720:",33,4.5,61.7,14.1,22.9,15.9,30,16.1,10.61,0
"16-JAN-1961",0,"/","721:",5,5.2,52.7,16.1,23.3,15.3,31.4,14.9,3.52,0
"15-FEB-1961",0,"/","722:",63.4,4.8,63.3,13.7,23.2,16.4,30.1,16.1,12.51,0
"16-MAR-1961",0,"/","723:",179.4,4.7,64.2,13.8,23.3,16.4,30.2,16.7,19.83,0
"16-APR-1961",0,"/","724:",160.4,4,69.1,12.1,22.8,16.8,28.9,17.9,20.54,0
"16-MAY-1961",0,"/","725:",152.4,3.8,63.7,12,23.3,17.3,29.3,19.2,18.66,0
"16-JUN-1961",0,"/","726:",47.4,3.8,57.5,12.5,22.2,16,28.5,17.1,10.07,0
"16-JUL-1961",0,"/","727:",45.8,3.6,65.3,11.8,21.5,15.6,27.4,16.9,10.1,0
"16-AUG-1961",0,"/","728:",149.5,3.8,69.9,11.9,21.5,15.6,27.5,16.3,16.39,0
"16-SEP-1961",0,"/","729:",184.5,4.3,64.9,12.8,21.8,15.4,28.2,15.6,19.72,0
"16-OCT-1961",0,"/","730:",121.7,4.4,71.8,13,22.2,15.7,28.7,15.1,18.61,0
"16-NOV-1961",0,"/","731:",454.2,3.7,84,11,21.1,15.6,26.6,15.2,30,0
"16-DEC-1961",0,"/","732:",204.8,3.9,71.3,12.2,21.5,15.4,27.6,15.5,24.95,0
"16-JAN-1962",0,"/","733:",108.8,4.3,68,12.8,21.5,15.1,27.9,14.4,16.65,0
"15-FEB-1962",0,"/","734:",20.7,5.2,47.6,15.2,22.5,14.9,30.1,14.9,8.1,0
"16-MAR-1962",0,"/","735:",219.7,4.5,66,13.5,22.6,15.9,29.4,16.1,21.74,0
"16-APR-1962",0,"/","736:",253.8,4,64.9,12.4,22.4,16.2,28.6,17.6,25.3,0
"16-MAY-1962",0,"/","737:",316.8,3.5,66.9,11.2,21.6,16,27.2,17.5,25.92,0
"16-JUN-1962",0,"/","738:",138.1,3.7,58.4,12.1,21.4,15.4,27.5,16.2,16.5,0
"16-JUL-1962",0,"/","739:",88.3,3.8,60.8,12.9,21,14.6,27.5,15.7,13.69,0
"16-AUG-1962",0,"/","740:",97.7,3.9,64.5,12.6,21.6,15.3,27.9,16.3,13.96,0
"16-SEP-1962",0,"/","741:",153.3,4.5,61.4,13.7,21.7,14.9,28.6,15.3,18.06,0
"16-OCT-1962",0,"/","742:",126.4,4.6,64.7,13.8,22.3,15.4,29.2,15.3,18.94,0
"16-NOV-1962",0,"/","743:",106.2,4.5,61.6,14.4,22.3,15.1,29.5,15.8,18.97,0
"16-DEC-1962",0,"/","744:",89,4.3,63.5,13.7,22.2,15.4,29.1,15.9,17.25,0
"16-JAN-1963",0,"/","745:",110.5,4.6,62.9,13.9,22.3,15.4,29.3,14.9,16.57,0
"15-FEB-1963",0,"/","746:",126.1,4.8,60.6,14.5,22.7,15.5,30,15.5,18.76,0
"16-MAR-1963",0,"/","747:",136.9,4.5,67.3,13.6,22.9,16.1,29.7,16.5,17.61,0
"16-APR-1963",0,"/","748:",239.7,3.7,73.3,11.6,21.8,16,27.6,17,24.56,0
"16-MAY-1963",0,"/","749:",279.6,3.4,71,10.7,21.7,16.4,27.1,17.7,24.55,0
"16-JUN-1963",0,"/","750:",70.6,3.6,61.4,12,21.2,15.2,27.2,16.1,12.04,0
"16-JUL-1963",0,"/","751:",46.2,3.8,59.7,13.2,21,14.4,27.6,15.8,10.15,0
"16-AUG-1963",0,"/","752:",85.4,4,61.9,13.6,21,14.2,27.8,15.3,12.96,0
"16-SEP-1963",0,"/","753:",35,4.7,54.2,14.6,21.6,14.3,28.9,14.8,9.24,0
"16-OCT-1963",0,"/","754:",60.7,5,59.4,15.3,23.2,15.6,30.9,15.3,13.59,0
"16-NOV-1963",0,"/","755:",204.3,3.9,76.9,12.1,22.1,16.1,28.2,16.7,25.38,0
"16-DEC-1963",0,"/","756:",146.2,4,74.5,12.7,21.9,15.6,28.3,15.7,21.39,0
"16-JAN-1964",0,"/","757:",61.6,4.8,60,14.5,22.5,15.3,29.8,14.9,12.41,0
"15-FEB-1964",0,"/","758:",199.5,4.8,61.7,14.2,23.2,16.1,30.3,16.2,22.83,0
"16-MAR-1964",0,"/","759:",173.5,4.6,65.6,13.6,23.4,16.6,30.2,17.2,19.52,0
"16-APR-1964",0,"/","760:",349,3.8,74.4,11.1,22.4,16.9,28,17.7,28.63,0
"16-MAY-1964",0,"/","761:",122.8,3.6,68.1,11.7,21.9,16.1,27.8,17.6,16.99,0
"16-JUN-1964",0,"/","762:",111.6,3.7,60.5,12.2,21.3,15.2,27.4,16.1,14.87,0
"16-JUL-1964",0,"/","763:",136.4,3.6,64.4,12.7,20.3,14,26.7,15.2,16.46,0
"16-AUG-1964",0,"/","764:",93.7,3.9,65.5,12.6,20.8,14.5,27.1,15.2,13.76,0
"16-SEP-1964",0,"/","765:",150.2,4.5,60.1,14,21,14,28,14.3,17.86,0
"16-OCT-1964",0,"/","766:",80.4,4.6,65,14.2,21.9,14.8,29,14.4,15.02,0
"16-NOV-1964",0,"/","767:",77.4,4.5,61.1,14.7,22.4,15.1,29.8,15.7,16.1,0
"16-DEC-1964",0,"/","768:",118.2,4.3,64.6,14.4,21.8,14.6,29,15.1,19.66,0
"16-JAN-1965",0,"/","769:",86,4.9,56.5,15.2,22.2,14.6,29.8,14.4,15.06,0
"15-FEB-1965",0,"/","770:",28.8,5,54.5,15,22.3,14.8,29.8,14.8,9.51,0
"16-MAR-1965",0,"/","771:",181.1,4.8,60.2,14.1,22.9,15.9,30,16.1,20.08,0
"16-APR-1965",0,"/","772:",224.6,3.9,68.9,12,22.2,16.2,28.2,17.3,23.86,0
"16-MAY-1965",0,"/","773:",155.8,3.7,62.5,12.2,22.2,16.1,28.3,17.7,18.55,0
"16-JUN-1965",0,"/","774:",36.3,3.9,52.8,13.5,21.1,14.4,27.9,15.7,8.78,0
"16-JUL-1965",0,"/","775:",56.4,3.8,61.6,12.9,21,14.6,27.5,15.5,11.1,0
"16-AUG-1965",0,"/","776:",55.2,4,64.2,13.3,21.3,14.7,28,15.8,9.78,0
"16-SEP-1965",0,"/","777:",104.6,4.6,59.1,13.9,22.1,15.2,29.1,15.4,14.59,0
"16-OCT-1965",0,"/","778:",141.2,4.6,66.7,13.8,22.3,15.4,29.2,15,20.06,0
"16-NOV-1965",0,"/","779:",137,4.1,71.8,13.2,22.1,15.5,28.7,15.9,21.29,0
"16-DEC-1965",0,"/","780:",78,4.4,60.9,14.2,22.6,15.5,29.7,16.2,15.25,0
"16-JAN-1966",0,"/","781:",34.7,4.9,58.8,14.8,23.2,15.8,30.6,15.3,9.92,0
"15-FEB-1966",0,"/","782:",210,4.6,68.1,12.9,23.3,16.9,29.8,16.6,23.51,0
"16-MAR-1966",0,"/","783:",262.4,4.2,75.8,12.4,23,16.8,29.2,17,23.57,0
"16-APR-1966",0,"/","784:",239.5,3.7,76.7,11.4,21.8,16.1,27.5,16.8,24.65,0
"16-MAY-1966",0,"/","785:",89,3.8,61.3,12.3,22.3,16.2,28.5,17.8,14.62,0
"16-JUN-1966",0,"/","786:",74.5,3.7,61.8,11.9,21.8,15.9,27.8,16.7,12.46,0
"16-JUL-1966",0,"/","787:",71.2,3.7,65.6,12.5,21.4,15.2,27.7,16.5,12.38,0
