"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",14.7,4.9,60.4,9.4,27.4,22.7,32.1,25.9,6.38,0
"15-FEB-1960",0,"/","710:",10.7,5.1,61.7,10.3,27.7,22.6,32.9,25.8,4.32,0
"16-MAR-1960",0,"/","711:",105.9,4.5,67.2,8.6,27.7,23.4,32,27.2,11.27,0
"16-APR-1960",0,"/","712:",261.3,3.9,71,7.5,26.9,23.2,30.7,27.5,18.24,0
"16-MAY-1960",0,"/","713:",252.5,3.6,73.8,7.8,26.1,22.2,30,26.3,16.61,0
"16-JUN-1960",0,"/","714:",144.1,3.6,70.6,7.3,24.7,21.1,28.4,23.6,11.73,0
"16-JUL-1960",0,"/","715:",50.2,3.5,67.6,7.7,23.9,20.1,27.8,22.7,7.91,0
"16-AUG-1960",0,"/","716:",32.4,4,61.6,8.7,24.1,19.8,28.5,22.4,8.34,0
"16-SEP-1960",0,"/","717:",18.4,4.2,60.5,8.4,24.6,20.4,28.8,23.3,5.35,0
"16-OCT-1960",0,"/","718:",104.3,4.3,61.3,8.5,25.5,21.3,29.8,24.4,11.47,0
"16-NOV-1960",0,"/","719:",14.9,4.4,60.8,9.3,26.6,22,31.3,25.7,7.08,0
"16-DEC-1960",0,"/","720:",17.7,4.7,61.3,9.7,27.4,22.6,32.3,26.6,6.75,0
"16-JAN-1961",0,"/","721:",12,5.5,53.8,11.2,28.5,22.9,34.1,26.4,4.2,0
"15-FEB-1961",0,"/","722:",105,5.2,60,10,27.9,22.9,32.9,25.8,12.04,0
"16-MAR-1961",0,"/","723:",30.7,5,57,10.4,28.3,23.1,33.5,27.2,7.99,0
"16-APR-1961",0,"/","724:",127.8,4.3,67.1,8.9,27.7,23.3,32.2,27.8,12.97,0
"16-MAY-1961",0,"/","725:",81.4,3.9,69.7,8.1,27.2,23.2,31.3,27.4,11.39,0
"16-JUN-1961",0,"/","726:",66.9,3.9,64.9,8.3,25.5,21.4,29.7,24.5,6.48,0
"16-JUL-1961",0,"/","727:",228,3.5,69.1,6.7,24.8,21.5,28.2,24.3,19.88,0
"16-AUG-1961",0,"/","728:",56.7,3.7,66.1,7.6,24.5,20.7,28.3,23.7,10.25,0
"16-SEP-1961",0,"/","729:",197.4,4,64.8,7.5,24.7,21,28.5,23.9,15.88,0
"16-OCT-1961",0,"/","730:",190.5,4,67.7,7.3,25.4,21.8,29.1,25.1,16.47,0
"16-NOV-1961",0,"/","731:",252.3,3.8,71,6.7,26,22.7,29.4,26.5,18.86,0
"16-DEC-1961",0,"/","732:",104.1,4.2,66.1,8,27.1,23.1,31.1,27.1,12.66,0
"16-JAN-1962",0,"/","733:",91,4.3,69.6,8.2,26.7,22.6,30.8,26.1,11.67,0
"15-FEB-1962",0,"/","734:",8.4,5.1,58.6,10.3,27.4,22.3,32.6,25.2,4.5,0
"16-MAR-1962",0,"/","735:",98.8,5,60.9,10.1,27.9,22.9,33,26.1,8.82,0
"16-APR-1962",0,"/","736:",109,4.2,67.5,8.5,27.4,23.2,31.7,27.2,13.8,0
"16-MAY-1962",0,"/","737:",101.6,3.6,71,7.9,25.6,21.7,29.6,25.5,8.91,0
"16-JUN-1962",0,"/","738:",69.8,3.9,61.6,8.6,24.9,20.6,29.2,23.4,8.6,0
"16-JUL-1962",0,"/","739:",99,3.7,65,8.2,24,19.9,28.1,22.5,13.28,0
"16-AUG-1962",0,"/","740:",63.2,3.8,63.9,8,24.4,20.4,28.4,23.3,11.69,0
"16-SEP-1962",0,"/","741:",42.4,4.1,60.9,8.6,24.5,20.2,28.8,23.2,8.91,0
"16-OCT-1962",0,"/","742:",19.9,4.2,61,8.5,25.4,21.2,29.7,24.8,6.19,0
"16-NOV-1962",0,"/","743:",36.2,4.4,58.4,9,26.8,22.3,31.3,26.5,10.46,0
"16-DEC-1962",0,"/","744:",67.3,4.5,63.4,8.7,27.3,23,31.7,27,11.38,0
"16-JAN-1963",0,"/","745:",25.2,4.7,63.6,9.1,27,22.5,31.6,25.8,6.9,0
"15-FEB-1963",0,"/","746:",36.2,4.9,63.8,9.3,27.5,22.9,32.2,25.8,8.26,0
"16-MAR-1963",0,"/","747:",121.6,4.5,68.7,8.5,27.9,23.7,32.2,27.3,11.93,0
"16-APR-1963",0,"/","748:",372.8,3.8,71.4,8,26.7,22.7,30.7,27.1,20.43,0
"16-MAY-1963",0,"/","749:",157.9,3.4,75.2,7.3,25.5,21.9,29.2,25.7,12.64,0
"16-JUN-1963",0,"/","750:",138.2,3.5,67.3,7.4,24.3,20.6,28,23.4,13.2,0
"16-JUL-1963",0,"/","751:",73.8,3.6,64.7,7.8,24,20.1,27.9,22.9,12.16,0
"16-AUG-1963",0,"/","752:",41.1,3.8,61.1,8.4,23.6,19.4,27.8,22.1,7.65,0
"16-SEP-1963",0,"/","753:",28.1,4.2,57,8.8,24.2,19.8,28.6,22.7,7,0
"16-OCT-1963",0,"/","754:",43.6,4.5,60.2,8.7,25.8,21.5,30.2,24.5,7.07,0
"16-NOV-1963",0,"/","755:",193.2,3.8,71.4,7,26.5,23,30,27.3,20.58,0
"16-DEC-1963",0,"/","756:",111.3,4.2,71.2,8.3,27,22.9,31.2,26.8,15.06,0
"16-JAN-1964",0,"/","757:",64.9,4.6,64.5,8.8,27.2,22.8,31.6,26.5,6.96,0
"15-FEB-1964",0,"/","758:",24.4,5,61.7,9.7,27.8,23,32.7,26.3,7.3,0
"16-MAR-1964",0,"/","759:",50.8,4.4,68.9,8.2,28.3,24.2,32.4,28.4,10.63,0
"16-APR-1964",0,"/","760:",167.2,3.8,74.2,7.6,27.3,23.5,31.1,28,15.17,0
"16-MAY-1964",0,"/","761:",157.5,3.5,74.1,7.9,25.5,21.6,29.5,25.5,12.51,0
"16-JUN-1964",0,"/","762:",47.1,3.7,64.5,8,24.6,20.6,28.6,23.3,6.86,0
"16-JUL-1964",0,"/","763:",19.7,3.5,65,8.4,23.2,19,27.4,21.7,5.71,0
"16-AUG-1964",0,"/","764:",38.5,3.8,63.2,8.5,23.6,19.4,27.9,22.1,8.75,0
"16-SEP-1964",0,"/","765:",30.2,4.2,56.8,9.3,23.6,19,28.3,21.8,6.66,0
"16-OCT-1964",0,"/","766:",62.1,4.3,59.4,9.2,24.8,20.2,29.4,23.2,9.7,0
"16-NOV-1964",0,"/","767:",8,4.6,55.9,10,26.6,21.6,31.6,25.5,3.82,0
"16-DEC-1964",0,"/","768:",138.5,4.5,61.9,9.9,26.6,21.7,31.6,25.4,13.4,0
"16-JAN-1965",0,"/","769:",42.3,4.7,65.5,9.3,26.7,22.1,31.4,24.9,6.13,0
"15-FEB-1965",0,"/","770:",1.8,5,59.2,10.1,27.4,22.4,32.5,25.7,1.84,0
"16-MAR-1965",0,"/","771:",38,5.1,55.7,10.6,27.8,22.5,33.1,26.2,8.73,0
"16-APR-1965",0,"/","772:",145.2,4,67.9,8.3,27.1,23,31.3,27.5,15.68,0
"16-MAY-1965",0,"/","773:",167.5,3.8,69.3,8.3,26,21.9,30.2,25.9,15.27,0
"16-JUN-1965",0,"/","774:",66,3.8,60.9,8.9,24.1,19.7,28.6,22.7,7.76,0
"16-JUL-1965",0,"/","775:",29,3.7,64.7,8.5,23.7,19.5,28,22.1,7.42,0
"16-AUG-1965",0,"/","776:",51.9,3.9,63.4,8.6,23.9,19.6,28.2,22.4,10.4,0
"16-SEP-1965",0,"/","777:",73.4,4.2,60.9,8.6,24.7,20.4,29,23.5,10.77,0
"16-OCT-1965",0,"/","778:",90.4,4,66.1,8,25.3,21.3,29.3,24.9,10.49,0
"16-NOV-1965",0,"/","779:",181.2,4.2,63.9,8.6,26.4,22.1,30.7,25.9,16.09,0
"16-DEC-1965",0,"/","780:",30.2,4.5,60.2,9.2,27.4,22.8,32,27.2,9.8,0
"16-JAN-1966",0,"/","781:",88.6,4.9,62.4,9.6,27.8,23,32.6,26.4,9.56,0
"15-FEB-1966",0,"/","782:",17.3,5,63.6,9.5,28.1,23.4,32.9,26.9,5.68,0
"16-MAR-1966",0,"/","783:",99.3,4.6,66,8.9,28,23.6,32.5,27.5,11.91,0
"16-APR-1966",0,"/","784:",176.5,4,69.5,7.9,27,23.1,31,27.4,14.34,0
"16-MAY-1966",0,"/","785:",302.8,3.7,69.2,7.4,26.1,22.4,29.8,26.2,19.77,0
"16-JUN-1966",0,"/","786:",141.5,3.7,67,7.7,25,21.2,28.9,24.2,12.71,0
"16-JUL-1966",0,"/","787:",45.2,3.7,64.5,7.5,24.5,20.8,28.3,23.5,9.03,0
"16-AUG-1966",0,"/","788:",51.7,4,59.3,8.4,24.3,20.1,28.5,22.9,9.5,0
"16-SEP-1966",0,"/","789:",32.6,4.3,57.9,8.5,25,20.8,29.3,23.9,8.27,0
"16-OCT-1966",0,"/","790:",86.9,4.3,58.4,8.4,25.5,21.3,29.7,24.8,9.67,0
"16-NOV-1966",0,"/","791:",80.7,4.5,57.3,9.9,26.3,21.4,31.3,25.5,7.12,0
"16-DEC-1966",0,"/","792:",32.8,4.9,52.9,10.6,27.4,22.1,32.7,26.4,6.73,0
"16-JAN-1967",0,"/","793:",5.6,5.1,52.9,10.6,27.4,22.1,32.7,25.8,2.72,0
"15-FEB-1967",0,"/","794:",18.3,5.1,60.1,10,27.8,22.8,32.8,26.1,3.16,0
"16-MAR-1967",0,"/","795:",17.3,5.1,54.9,10.3,28.5,23.4,33.7,27.5,7.02,0
"16-APR-1967",0,"/","796:",201.9,3.9,71.3,8.1,27.3,23.3,31.4,28.3,16.39,0
"16-MAY-1967",0,"/","797:",263.5,3.4,74.5,6.8,26.1,22.7,29.5,27.3,19.77,0
"16-JUN-1967",0,"/","798:",101.9,3.5,69.5,7.2,24.8,21.2,28.4,24.3,10.22,0
"16-JUL-1967",0,"/","799:",102.4,3.4,70.1,7.2,24.3,20.7,27.9,23.6,15.35,0
"16-AUG-1967",0,"/","800:",107.1,3.6,66.4,7.6,24,20.2,27.8,23.2,11.44,0
"16-SEP-1967",0,"/","801:",206.2,3.9,63.1,8,24.2,20.2,28.2,23.4,16.71,0
"16-OCT-1967",0,"/","802:",202.2,4.1,65.5,8.3,25.3,21.2,29.5,24.4,14.21,0
"16-NOV-1967",0,"/","803:",164,4,66.4,7.9,26.2,22.3,30.2,26.5,14.68,0
"16-DEC-1967",0,"/","804:",21,4.4,61.8,8.8,26.8,22.4,31.2,26.4,7.75,0
"16-JAN-1968",0,"/","805:",0.2,4.6,59.8,9.4,26.4,21.7,31.1,25.1,0.62,0
"15-FEB-1968",0,"/","806:",40.2,4.9,58.6,9.6,27,22.2,31.8,25.4,6.17,0
"16-MAR-1968",0,"/","807:",235.3,4.4,64,8.3,26.9,22.8,31.1,26.3,15.68,0
"16-APR-1968",0,"/","808:",300.1,3.8,70.1,7.5,26.3,22.6,30.1,26.8,19,0
"16-MAY-1968",0,"/","809:",305.1,3.5,74.2,7.4,25.4,21.7,29.1,25.4,17.58,0
"16-JUN-1968",0,"/","810:",206.6,3.5,66,7.5,23.9,20.2,27.7,22.8,15.24,0
"16-JUL-1968",0,"/","811:",82.3,3.5,68.3,7.9,23.4,19.5,27.4,21.9,10.32,0
"16-AUG-1968",0,"/","812:",46.8,3.8,63.9,8.6,23.6,19.3,27.9,22,8.45,0
"16-SEP-1968",0,"/","813:",30.3,4.3,57.8,9.4,24.2,19.5,28.9,22.5,4.91,0
