"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",70.2,3.5,61.5,13.5,22.8,16.1,29.6,19.1,12.66,0
"15-FEB-1960",0,"/","710:",104.9,3.6,66,12.6,23.7,17.4,30,19.3,15.03,0
"16-MAR-1960",0,"/","711:",91.8,3.4,74.9,12.3,23.4,17.3,29.6,20,15.08,0
"16-APR-1960",0,"/","712:",110.5,2.9,82.2,10.5,22.9,17.7,28.2,20.9,17.42,0
"16-MAY-1960",0,"/","713:",103.2,3.1,68.3,11.2,23.3,17.7,28.9,21.4,16.51,0
"16-JUN-1960",0,"/","714:",62.1,2.3,99.5,11,22.8,17.3,28.3,20.7,8.12,0
"16-JUL-1960",0,"/","715:",57.4,2.8,71,11.1,21.7,16.2,27.3,20,8.15,0
"16-AUG-1960",0,"/","716:",151.6,2.9,75.8,10.8,22.1,16.7,27.5,20.5,12.54,0
"16-SEP-1960",0,"/","717:",101.8,3.1,71.7,11.3,22.3,16.7,28,20.4,13.46,0
"16-OCT-1960",0,"/","718:",144.8,3.1,72,11.4,22.3,16.6,28,20.7,18.16,0
"16-NOV-1960",0,"/","719:",102.1,3.1,68,12.2,22.7,16.6,28.8,20.5,15.92,0
"16-DEC-1960",0,"/","720:",45.5,3.2,65.2,12.6,23.1,16.8,29.4,20.2,11.81,0
"16-JAN-1961",0,"/","721:",38.7,3.4,65.4,14.2,23.1,16,30.2,19.4,8.42,0
"15-FEB-1961",0,"/","722:",62.5,3.5,65.9,12.8,23.2,16.8,29.6,19,12.13,0
"16-MAR-1961",0,"/","723:",85.2,3.5,70.1,12.6,23.7,17.4,30,20.4,14.69,0
"16-APR-1961",0,"/","724:",128.8,3.2,73.2,11.4,23.5,17.8,29.2,21.6,18.69,0
"16-MAY-1961",0,"/","725:",128.6,3.3,64.3,11.5,23.9,18.2,29.7,22.2,18.19,0
"16-JUN-1961",0,"/","726:",164.5,3,68.6,10.9,22.8,17.4,28.3,21.2,13,0
"16-JUL-1961",0,"/","727:",131.1,2.7,73.5,10.5,21.8,16.6,27.1,20.7,11.96,0
"16-AUG-1961",0,"/","728:",168.6,2.7,79,9.7,21.6,16.8,26.5,20.6,13.22,0
"16-SEP-1961",0,"/","729:",168.1,3,74.1,10.6,22.1,16.8,27.4,20.5,16.93,0
"16-OCT-1961",0,"/","730:",170.1,2.8,81.9,10.4,22,16.8,27.2,20.8,19.51,0
"16-NOV-1961",0,"/","731:",304.4,2.7,83.9,10.6,21.8,16.5,27.1,19.8,25.96,0
"16-DEC-1961",0,"/","732:",87,2.9,70,11.2,21.6,16,27.2,19,16.1,0
"16-JAN-1962",0,"/","733:",70.6,3.3,62.8,12.8,21.8,15.4,28.2,18.3,13.1,0
"15-FEB-1962",0,"/","734:",24.7,4,51.7,14.9,23.3,15.9,30.8,18.6,6.55,0
"16-MAR-1962",0,"/","735:",114.2,3.3,73.6,12.2,23.3,17.2,29.4,20.3,16.75,0
"16-APR-1962",0,"/","736:",125.1,3.1,73.2,11.4,23.1,17.4,28.8,21.2,18.33,0
"16-MAY-1962",0,"/","737:",131.1,3,70.3,11,22.8,17.3,28.3,21.2,18.26,0
"16-JUN-1962",0,"/","738:",126.9,2.9,70,10.9,22.4,17,27.9,20.7,11.65,0
"16-JUL-1962",0,"/","739:",48.9,2.9,70.2,11.2,21.9,16.3,27.5,20.5,7.51,0
"16-AUG-1962",0,"/","740:",143,2.8,78.8,10.3,21.9,16.8,27.1,20.6,12.45,0
"16-SEP-1962",0,"/","741:",188.2,3,74.4,11.1,22.2,16.7,27.8,20.9,17.75,0
"16-OCT-1962",0,"/","742:",190.6,3,74.1,11.4,22.1,16.4,27.8,20.8,20.41,0
"16-NOV-1962",0,"/","743:",121.7,3.2,66.1,12.7,22.6,16.3,29,20.8,17.17,0
"16-DEC-1962",0,"/","744:",92.3,3.1,68.1,12.3,22.6,16.5,28.8,20,16.13,0
