"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-JAN-1960",0,"/","709:",63.6,4.5,56.9,13,19,12.5,25.5,12.9,8.39,0
"15-FEB-1960",0,"/","710:",5.8,4.7,61.9,13.8,19.7,12.8,26.6,13.1,8.22,0
"16-MAR-1960",0,"/","711:",260.9,4.1,78,12.3,19.6,13.5,25.8,14.4,20.99,0
"16-APR-1960",0,"/","712:",153,3.2,83.7,9.9,19.1,14.2,24.1,15.7,18.79,0
"16-MAY-1960",0,"/","713:",82.9,2.9,79.5,9.6,18.6,13.8,23.4,15.6,12.37,0
"16-JUN-1960",0,"/","714:",28.4,2.4,99.6,10,16.9,11.9,21.9,13.7,5.49,0
"16-JUL-1960",0,"/","715:",7.4,2.5,84.5,10.3,15.8,10.7,21,13.1,7.65,0
"16-AUG-1960",0,"/","716:",19,2.9,80.1,10.7,16.4,11.1,21.8,13.1,4.03,0
"16-SEP-1960",0,"/","717:",27.6,3.6,72,12.6,17.9,11.6,24.2,13.2,4.87,0
"16-OCT-1960",0,"/","718:",63.5,4,70.5,12.3,19,12.9,25.2,13.6,11.04,0
"16-NOV-1960",0,"/","719:",69.8,3.5,76.3,10.2,18.7,13.6,23.8,14.9,18.08,0
"16-DEC-1960",0,"/","720:",39.3,4,64.4,11.7,19,13.2,24.9,14,11.26,0
"16-JAN-1961",0,"/","721:",5.4,5.1,49.5,15.1,19.9,12.4,27.5,12.7,3.19,0
"15-FEB-1961",0,"/","722:",9.7,4.8,61.3,13.8,19.9,13,26.8,13.1,3.83,0
"16-MAR-1961",0,"/","723:",82.1,4.6,65.8,13.3,20.3,13.7,27,14.4,10.39,0
"16-APR-1961",0,"/","724:",139.3,3.5,76.5,10.6,19.8,14.5,25.1,15.9,19.92,0
"16-MAY-1961",0,"/","725:",118.5,3.1,74.8,10.1,19.7,14.7,24.8,16.5,18.05,0
"16-JUN-1961",0,"/","726:",23.4,2.9,72.8,10.7,17.7,12.4,23.1,14.5,8.08,0
"16-JUL-1961",0,"/","727:",15.6,2.4,84.9,10,16.4,11.4,21.4,14.1,6.54,0
"16-AUG-1961",0,"/","728:",23.1,2.6,86.7,10,16.4,11.4,21.4,13.5,7.8,0
"16-SEP-1961",0,"/","729:",39.2,3.5,75.4,11.8,17.8,11.9,23.7,13.4,8.44,0
"16-OCT-1961",0,"/","730:",156.8,3.8,76.3,11.3,18.5,12.9,24.2,13.5,14.11,0
"16-NOV-1961",0,"/","731:",526.4,2.9,90.7,8.1,17.4,13.4,21.5,14.3,30,0
"16-DEC-1961",0,"/","732:",270.9,3.5,74.3,10,17.9,12.9,22.9,13.8,16.42,0
"16-JAN-1962",0,"/","733:",170.4,4.1,69.7,11.7,17.9,12.1,23.8,12.2,16.67,0
"15-FEB-1962",0,"/","734:",22,5,51.7,14.7,19.1,11.8,26.5,12,5.23,0
"16-MAR-1962",0,"/","735:",29.8,4.4,68.2,12.7,19.6,13.3,26,13.6,9.91,0
