Year         X      XX         PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   41.3  3.700  58.50  13.40  21.10  14.40  27.80  16.30  11.79  0.0000
15-FEB-1960 00 /  710:   77.2  3.700  64.60  12.00  21.90  15.90  27.90  16.80  15.54  0.0000
16-MAR-1960 00 /  711:   82.5  3.500  70.60  11.80  21.20  15.30  27.10  17.30  14.77  0.0000
16-APR-1960 00 /  712:  139.6  2.900  77.40   9.70  20.80  16.00  25.70  18.70  18.63  0.0000
16-MAY-1960 00 /  713:  110.8  3.000  65.40  10.30  21.00  15.90  26.20  19.70  18.11  0.0000
16-JUN-1960 00 /  714:   64.2  2.200  99.60  11.00  20.50  15.00  26.00  18.60  10.22  0.0000
16-JUL-1960 00 /  715:   60.0  2.700  69.50  10.80  19.50  14.10  24.90  18.10   9.79  0.0000
16-AUG-1960 00 /  716:  201.0  2.800  71.50  10.60  19.90  14.60  25.20  18.70  15.60  0.0000
16-SEP-1960 00 /  717:  127.5  3.000  70.10  10.70  20.00  14.70  25.40  18.50  14.09  0.0000
16-OCT-1960 00 /  718:  167.8  3.100  66.00  10.80  20.20  14.80  25.60  18.90  17.88  0.0000
16-NOV-1960 00 /  719:  104.9  3.200  60.50  11.60  20.60  14.80  26.40  18.40  14.80  0.0000
16-DEC-1960 00 /  720:   40.1  3.500  52.60  12.60  21.20  14.90  27.50  18.00  12.13  0.0000
16-JAN-1961 00 /  721:   12.4  3.700  60.30  13.90  21.50  14.60  28.50  16.40   5.61  0.0000
15-FEB-1961 00 /  722:   44.6  3.700  63.20  12.50  21.40  15.20  27.70  16.20  12.43  0.0000
16-MAR-1961 00 /  723:   89.3  3.600  65.20  12.30  21.70  15.60  27.90  17.80  15.35  0.0000
16-APR-1961 00 /  724:  130.3  3.300  68.00  10.80  21.60  16.20  27.00  19.20  18.00  0.0000
16-MAY-1961 00 /  725:  106.3  3.200  61.00  10.70  21.70  16.40  27.10  20.30  17.96  0.0000
16-JUN-1961 00 /  726:  134.6  2.900  64.50  10.90  20.50  15.10  26.00  19.00  14.81  0.0000
16-JUL-1961 00 /  727:  129.6  2.700  72.50  10.00  19.60  14.60  24.60  18.40  14.10  0.0000
16-AUG-1961 00 /  728:  173.6  2.600  76.20   9.40  19.30  14.60  24.00  18.30  14.66  0.0000
16-SEP-1961 00 /  729:  202.5  2.900  73.40  10.10  19.80  14.80  24.90  18.20  17.62  0.0000
16-OCT-1961 00 /  730:  230.9  2.800  75.30   9.80  19.90  15.00  24.80  18.50  20.56  0.0000
16-NOV-1961 00 /  731:  387.5  2.700  78.00  10.00  19.50  14.50  24.50  17.20  26.72  0.0000
16-DEC-1961 00 /  732:   48.8  3.200  60.80  11.10  19.50  14.00  25.10  16.10  14.55  0.0000
16-JAN-1962 00 /  733:   42.5  3.500  61.20  12.60  20.00  13.70  26.30  14.90  12.65  0.0000
15-FEB-1962 00 /  734:   10.4  4.200  46.70  14.70  21.30  14.00  28.70  15.20   4.51  0.0000
16-MAR-1962 00 /  735:  110.8  3.500  69.30  11.80  21.20  15.30  27.10  17.20  17.03  0.0000
16-APR-1962 00 /  736:  176.1  3.200  68.10  10.80  21.10  15.70  26.50  18.60  20.40  0.0000
16-MAY-1962 00 /  737:  162.3  2.900  67.60  10.20  20.40  15.30  25.50  18.80  21.82  0.0000
16-JUN-1962 00 /  738:  113.5  2.900  65.90  10.90  20.10  14.70  25.60  18.20  13.55  0.0000
16-JUL-1962 00 /  739:   66.3  2.800  68.60  10.90  19.70  14.30  25.20  18.30  10.28  0.0000
16-AUG-1962 00 /  740:  164.6  2.800  73.30  10.10  19.70  14.70  24.80  18.50  14.44  0.0000
16-SEP-1962 00 /  741:  208.7  2.900  72.40  10.50  20.00  14.80  25.30  18.60  17.76  0.0000
16-OCT-1962 00 /  742:  199.6  3.000  67.40  10.90  20.10  14.70  25.60  18.70  19.21  0.0000
16-NOV-1962 00 /  743:  129.9  3.300  57.30  12.10  20.50  14.50  26.60  18.50  16.43  0.0000
16-DEC-1962 00 /  744:   59.5  3.400  55.80  12.20  20.60  14.50  26.70  17.20  15.55  0.0000
16-JAN-1963 00 /  745:   92.6  3.600  63.00  12.60  21.20  14.90  27.50  16.30  17.89  0.0000
15-FEB-1963 00 /  746:   82.0  3.800  60.30  12.90  21.40  15.00  27.90  16.20  16.48  0.0000
16-MAR-1963 00 /  747:  125.3  3.700  64.40  12.40  21.50  15.30  27.70  17.50  17.92  0.0000
16-APR-1963 00 /  748:  212.4  3.000  75.10  10.40  20.70  15.50  25.90  18.60  22.59  0.0000
