YEAR         X     XX          PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:  103.0  2.600  85.10  11.60  18.80  13.00  24.60  17.40  21.04  0.0000
15-FEB-1960 00 /  710:   91.6  2.800  83.00  11.60  19.20  13.40  25.00  17.20  18.10  0.0000
16-MAR-1960 00 /  711:   91.5  2.400  95.30  10.90  18.80  13.40  24.30  17.50  19.20  0.0000
16-APR-1960 00 /  712:  146.1  2.100  98.90  10.20  18.60  13.50  23.70  18.10  23.89  0.0000
16-MAY-1960 00 /  713:   39.6  2.400  86.80  11.30  18.90  13.30  24.60  17.60  11.78  0.0000
16-JUN-1960 00 /  714:    4.7  2.400  99.40  13.10  18.70  12.20  25.30  16.00   3.08  0.0000
16-JUL-1960 00 /  715:    2.0  3.100  67.30  13.20  18.40  11.80  25.00  14.70   1.94  0.0000
16-AUG-1960 00 /  716:   29.2  3.200  72.60  12.40  19.40  13.20  25.60  15.40   6.85  0.0000
16-SEP-1960 00 /  717:   67.3  3.000  73.70  11.70  19.10  13.30  25.00  16.40  11.75  0.0000
16-OCT-1960 00 /  718:   99.1  2.800  77.60  11.60  19.00  13.20  24.80  17.40  19.51  0.0000
16-NOV-1960 00 /  719:   92.2  2.500  83.80  11.00  18.90  13.40  24.40  18.10  20.20  0.0000
16-DEC-1960 00 /  720:   79.5  2.500  83.70  12.30  19.00  12.90  25.20  17.70  19.00  0.0000
16-JAN-1961 00 /  721:   59.3  2.600  91.60  13.90  19.20  12.30  26.20  17.20  16.30  0.0000
15-FEB-1961 00 /  722:   84.0  2.700  85.60  11.50  19.10  13.40  24.90  17.50  16.91  0.0000
16-MAR-1961 00 /  723:  112.5  2.600  89.80  11.60  19.20  13.40  25.00  17.70  21.01  0.0000
16-APR-1961 00 /  724:  131.2  2.400  89.50  11.10  19.10  13.60  24.70  18.30  22.33  0.0000
