
YEAR         X      XX         PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:    0.0  4.100  46.30  17.40  22.60  13.90  31.30   9.80   0.00  0.0000
15-FEB-1960 00 /  710:    0.7  4.600  48.80  16.70  23.90  15.60  32.30   9.20   0.00  0.0000
16-MAR-1960 00 /  711:   21.7  4.700  60.00  15.00  26.20  18.70  33.70  13.80   4.32  0.0000
16-APR-1960 00 /  712:  149.9  4.200  67.50  12.30  26.20  20.10  32.40  19.50  13.61  0.0000
16-MAY-1960 00 /  713:  176.9  3.500  71.30  11.10  24.90  19.40  30.50  22.80  16.71  0.0000
16-JUN-1960 00 /  714:  191.8  3.000  77.30   9.90  23.70  18.80  28.70  22.70  17.71  0.0000
16-JUL-1960 00 /  715:  293.7  2.500  87.50   9.00  22.40  17.90  26.90  22.70  21.38  0.0000
16-AUG-1960 00 /  716:  252.4  2.600  88.80   8.80  23.30  18.90  27.70  23.40  20.05  0.0000
16-SEP-1960 00 /  717:  325.3  2.700  83.80   9.50  23.00  18.30  27.80  23.00  23.34  0.0000
16-OCT-1960 00 /  718:  201.6  3.100  72.50  11.90  23.70  17.80  29.70  21.80  15.84  0.0000
16-NOV-1960 00 /  719:   28.4  3.700  53.80  15.20  23.10  15.50  30.70  15.40   1.32  0.0000
16-DEC-1960 00 /  720:    0.0  4.200  45.00  17.10  23.50  15.00  32.10  11.70   0.00  0.0000
16-JAN-1961 00 /  721:    0.0  4.100  48.90  16.30  22.80  14.70  31.00   9.90   0.00  0.0000
15-FEB-1961 00 /  722:    0.7  4.600  48.70  17.20  23.00  14.40  31.60   8.30   0.00  0.0000
16-MAR-1961 00 /  723:    3.0  4.800  55.60  15.80  26.40  18.50  34.30  13.80   0.73  0.0000
16-APR-1961 00 /  724:   98.2  4.100  68.70  11.80  25.80  19.90  31.70  18.80  10.95  0.0000
16-MAY-1961 00 /  725:  113.6  3.600  69.40  11.80  25.40  19.50  31.30  22.50  13.10  0.0000
16-JUN-1961 00 /  726:  208.4  2.900  78.40   9.70  23.70  18.90  28.60  23.00  18.29  0.0000
16-JUL-1961 00 /  727:  290.1  2.400  88.20   8.50  22.20  18.00  26.50  22.90  21.21  0.0000
16-AUG-1961 00 /  728:  212.3  2.500  86.80   8.80  22.30  17.90  26.70  22.90  18.61  0.0000
16-SEP-1961 00 /  729:  312.8  2.700  82.60   9.70  22.40  17.60  27.30  22.40  23.06  0.0000
16-OCT-1961 00 /  730:  117.1  3.200  69.60  12.60  23.60  17.30  29.90  21.80  11.27  0.0000
16-NOV-1961 00 /  731:    0.3  3.900  45.00  17.00  22.60  14.10  31.10  14.80   0.20  0.0000
16-DEC-1961 00 /  732:    0.0  4.200  34.90  18.90  21.20  11.80  30.70  10.40   0.00  0.0000
16-JAN-1962 00 /  733:    0.0  4.200  38.00  18.40  21.40  12.20  30.60   8.70   0.00  0.0000
15-FEB-1962 00 /  734:    5.1  4.700  47.30  16.90  24.10  15.70  32.60   9.30   0.00  0.0000
16-MAR-1962 00 /  735:   46.7  4.600  62.80  13.70  26.20  19.40  33.10  13.90   5.19  0.0000
16-APR-1962 00 /  736:  109.2  4.000  69.10  11.40  26.10  20.40  31.80  20.30  11.72  0.0000
16-MAY-1962 00 /  737:  170.1  3.500  69.70  11.30  25.00  19.40  30.70  23.10  16.48  0.0000
