YEAR         X      XX         PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   21.5  3.500   72.5  10.20  27.50  22.40  32.60  26.70   2.15  0.0000
15-FEB-1960 00 /  710:   54.9  4.000   70.0  10.20  28.80  23.70  33.90  28.90   2.86  0.0000
16-MAR-1960 00 /  711:   56.7  3.900   71.3   9.20  28.50  23.90  33.10  29.60   7.06  0.0000
16-APR-1960 00 /  712:  234.8  3.600   73.8   8.60  27.30  23.00  31.60  28.90  11.03  0.0000
16-MAY-1960 00 /  713:  197.0  3.300   77.5   8.10  27.30  23.30  31.40  29.90  11.72  0.0000
16-JUN-1960 00 /  714:  287.4  2.600   91.3   7.30  25.70  22.10  29.40  28.50  18.04  0.0000
16-JUL-1960 00 /  715:   56.3  2.500   95.0   6.00  25.40  22.40  28.40  28.00   9.31  0.0000
16-AUG-1960 00 /  716:   78.1  2.600   93.8   6.30  25.40  22.30  28.60  27.50  12.17  0.0000
16-SEP-1960 00 /  717:  165.8  2.700   92.5   6.70  25.90  22.60  29.30  28.40  15.19  0.0000
16-OCT-1960 00 /  718:  211.7  2.900   82.5   7.80  26.40  22.50  30.30  28.90  13.36  0.0000
16-NOV-1960 00 /  719:   52.0  3.200   71.3   8.90  27.30  22.90  31.80  29.30   8.92  0.0000
16-DEC-1960 00 /  720:   39.3  3.300   67.5   9.50  27.80  23.10  32.60  28.60   2.59  0.0000
16-JAN-1961 00 /  721:   17.8  3.300   77.0   9.60  27.80  23.00  32.60  27.30   3.29  0.0000
15-FEB-1961 00 /  722:    2.2  4.300   60.3  11.80  28.30  22.40  34.20  27.40   0.79  0.0000
16-MAR-1961 00 /  723:  123.0  4.400   68.8   9.80  29.50  24.60  34.40  28.80   7.14  0.0000
16-APR-1961 00 /  724:  189.5  3.600   73.6   8.70  27.80  23.50  32.20  30.40  10.98  0.0000
16-MAY-1961 00 /  725:  146.2  3.300   76.4   8.60  27.50  23.20  31.80  30.70  11.33  0.0000
16-JUN-1961 00 /  726:  393.4  2.500   92.4   7.60  25.40  21.60  29.20  28.40  17.13  0.0000
16-JUL-1961 00 /  727:  157.5  2.300   98.3   5.40  24.90  22.20  27.60  27.80  14.06  0.0000
16-AUG-1961 00 /  728:    2.7  2.700   90.5   7.00  24.40  20.90  27.90  25.80   4.38  0.0000
16-SEP-1961 00 /  729:   91.3  2.700   90.0   7.20  25.20  21.60  28.80  27.20  12.17  0.0000
16-OCT-1961 00 /  730:  197.5  3.000   80.9   8.40  26.60  22.40  30.80  28.90  11.17  0.0000
16-NOV-1961 00 /  731:   57.9  3.200   70.7   9.10  27.50  23.00  32.10  29.40   4.90  0.0000
16-DEC-1961 00 /  732:   17.5  3.600   59.2  11.10  27.20  21.70  32.80  26.80   1.24  0.0000
16-JAN-1962 00 /  733:    4.2  3.700   63.5  11.30  27.60  22.00  33.30  27.50   1.14  0.0000
15-FEB-1962 00 /  734:   15.7  4.300   64.0  11.30  28.80  23.20  34.50  28.10   1.42  0.0000
16-MAR-1962 00 /  735:  150.7  4.000   71.5   9.20  28.90  24.30  33.50  30.20   8.76  0.0000
16-APR-1962 00 /  736:  118.7  3.700   73.8   8.90  28.00  23.60  32.50  30.30  10.08  0.0000
16-MAY-1962 00 /  737:  250.0  3.200   76.6   8.50  26.90  22.70  31.20  30.00  13.20  0.0000
16-JUN-1962 00 /  738:  407.9  2.300   92.3   7.30  24.90  21.30  28.60  28.60  20.79  0.0000
16-JUL-1962 00 /  739:  279.5  2.400   96.1   5.80  25.40  22.50  28.30  28.30  14.84  0.0000
16-AUG-1962 00 /  740:  187.5  2.500   93.8   6.40  24.70  21.50  27.90  26.70  14.17  0.0000
16-SEP-1962 00 /  741:   46.7  2.700   92.5   6.70  25.40  22.10  28.80  27.40   9.30  0.0000
