YEAR         X     XX          PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   20.7  3.700  60.00   9.70  26.90  22.10  31.80  26.20   4.41  0.0000
15-FEB-1960 00 /  710:   56.7  4.200  58.80   9.50  28.20  23.50  33.00  28.30   3.17  0.0000
16-MAR-1960 00 /  711:   80.5  4.200  61.30   8.80  28.10  23.70  32.50  28.70   7.68  0.0000
16-APR-1960 00 /  712:  174.3  3.900  65.00   8.30  27.20  23.10  31.40  28.10  10.73  0.0000
16-MAY-1960 00 /  713:  157.9  3.500  70.00   8.20  27.20  23.10  31.30  29.00  12.05  0.0000
16-JUN-1960 00 /  714:  290.6  2.800  85.00   7.10  25.80  22.30  29.40  27.70  18.70  0.0000
16-JUL-1960 00 /  715:   26.3  2.700  90.00   6.10  25.20  22.20  28.30  27.10   9.03  0.0000
16-AUG-1960 00 /  716:   49.7  2.900  87.50   6.30  25.20  22.10  28.40  26.70   9.08  0.0000
16-SEP-1960 00 /  717:  131.2  3.000  82.50   7.00  25.80  22.30  29.30  27.60  14.21  0.0000
16-OCT-1960 00 /  718:  274.6  3.300  70.00   7.90  26.20  22.30  30.20  27.80  13.27  0.0000
16-NOV-1960 00 /  719:   44.6  3.600  60.00   8.90  27.10  22.70  31.60  28.00   7.34  0.0000
16-DEC-1960 00 /  720:   33.0  3.400  61.30   9.20  27.20  22.60  31.80  28.10   3.82  0.0000
16-JAN-1961 00 /  721:    4.9  3.600  63.10   9.40  27.20  22.50  31.90  26.80   3.20  0.0000
15-FEB-1961 00 /  722:    2.9  4.400  53.70  10.10  27.80  22.80  32.90  26.80   1.42  0.0000
16-MAR-1961 00 /  723:   76.5  4.600  59.50   9.30  29.00  24.40  33.70  27.90   5.87  0.0000
16-APR-1961 00 /  724:  146.7  3.900  64.50   8.50  27.60  23.40  31.90  29.60   9.79  0.0000
16-MAY-1961 00 /  725:  157.4  3.500  69.20   8.50  27.30  23.10  31.60  29.80  13.08  0.0000
16-JUN-1961 00 /  726:  338.7  2.700  85.90   6.80  25.60  22.20  29.00  27.60  18.48  0.0000
16-JUL-1961 00 /  727:   63.4  2.500  93.20   5.40  24.70  22.00  27.40  26.90  11.11  0.0000
16-AUG-1961 00 /  728:    3.8  2.900  84.70   6.80  24.20  20.80  27.60  25.00   3.61  0.0000
16-SEP-1961 00 /  729:  113.7  3.100  81.30   7.60  25.20  21.40  29.00  26.30  11.14  0.0000
16-OCT-1961 00 /  730:  118.3  3.500  68.60   8.50  26.40  22.20  30.70  27.60  11.74  0.0000
16-NOV-1961 00 /  731:   92.1  3.600  60.40   9.00  27.30  22.80  31.80  28.20   5.72  0.0000
16-DEC-1961 00 /  732:    6.8  3.500  58.40  10.10  26.80  21.80  31.90  26.20   1.12  0.0000
16-JAN-1962 00 /  733:    9.7  3.800  58.30  10.00  27.20  22.20  32.20  26.90   2.00  0.0000
15-FEB-1962 00 /  734:   20.1  4.400  54.20  10.30  28.30  23.20  33.50  27.40   2.60  0.0000
16-MAR-1962 00 /  735:   81.2  4.200  61.40   8.80  28.40  24.00  32.80  29.40   7.83  0.0000
16-APR-1962 00 /  736:  116.3  4.000  64.00   8.70  27.90  23.60  32.30  29.30  10.32  0.0000
16-MAY-1962 00 /  737:  217.7  3.400  69.10   8.60  26.80  22.50  31.10  29.10  15.82  0.0000
16-JUN-1962 00 /  738:  514.9  2.600  86.00   6.90  25.10  21.70  28.60  27.70  22.00  0.0000
16-JUL-1962 00 /  739:  199.4  2.600  91.00   5.80  25.10  22.20  28.00  27.40  13.13  0.0000
16-AUG-1962 00 /  740:   67.0  2.800  88.20   6.40  24.50  21.30  27.70  25.80  10.68  0.0000
16-SEP-1962 00 /  741:   33.2  3.100  81.40   7.20  25.40  21.80  29.00  26.50   6.87  0.0000
16-OCT-1962 00 /  742:  173.7  3.300  70.30   8.10  26.30  22.30  30.40  28.40  12.23  0.0000
16-NOV-1962 00 /  743:  116.6  3.300  63.20   8.80  26.80  22.40  31.20  29.90   8.42  0.0000
