YEAR        X      XX          PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   72.8  4.800  57.50  14.30  22.80  15.70  30.00  15.40  13.60  0.0000
15-FEB-1960 00 /  710:   70.9  4.800  62.30  14.10  23.20  16.20  30.30  16.40  14.35  0.0000
16-MAR-1960 00 /  711:  293.5  4.300  74.40  13.50  22.70  16.00  29.50  16.70  24.69  0.0000
16-APR-1960 00 /  712:  247.7  3.700  77.00  11.50  22.10  16.40  27.90  17.70  24.92  0.0000
16-MAY-1960 00 /  713:  164.8  3.500  69.50  11.40  22.30  16.60  28.00  18.40  19.31  0.0000
16-JUN-1960 00 /  714:   82.6  3.200  89.20  12.00  21.50  15.50  27.50  16.50  12.93  0.0000
16-JUL-1960 00 /  715:   66.5  3.600  63.80  12.10  21.00  15.00  27.10  16.10  11.78  0.0000
16-AUG-1960 00 /  716:   75.1  4.000  63.50  12.70  21.70  15.40  28.10  16.20  12.43  0.0000
16-SEP-1960 00 /  717:  117.0  4.500  61.00  13.70  21.90  15.10  28.80  15.60  15.78  0.0000
16-OCT-1960 00 /  718:   96.7  4.600  65.80  14.00  22.70  15.70  29.70  15.40  16.59  0.0000
16-NOV-1960 00 /  719:   88.9  4.300  68.50  13.30  22.60  16.00  29.30  16.40  16.97  0.0000
16-DEC-1960 00 /  720:   33.0  4.500  61.70  14.10  22.90  15.90  30.00  16.10  10.61  0.0000
16-JAN-1961 00 /  721:    5.0  5.200  52.70  16.10  23.30  15.30  31.40  14.90   3.52  0.0000
15-FEB-1961 00 /  722:   63.4  4.800  63.30  13.70  23.20  16.40  30.10  16.10  12.51  0.0000
16-MAR-1961 00 /  723:  179.4  4.700  64.20  13.80  23.30  16.40  30.20  16.70  19.83  0.0000
16-APR-1961 00 /  724:  160.4  4.000  69.10  12.10  22.80  16.80  28.90  17.90  20.54  0.0000
16-MAY-1961 00 /  725:  152.4  3.800  63.70  12.00  23.30  17.30  29.30  19.20  18.66  0.0000
16-JUN-1961 00 /  726:   47.4  3.800  57.50  12.50  22.20  16.00  28.50  17.10  10.07  0.0000
16-JUL-1961 00 /  727:   45.8  3.600  65.30  11.80  21.50  15.60  27.40  16.90  10.10  0.0000
16-AUG-1961 00 /  728:  149.5  3.800  69.90  11.90  21.50  15.60  27.50  16.30  16.39  0.0000
16-SEP-1961 00 /  729:  184.5  4.300  64.90  12.80  21.80  15.40  28.20  15.60  19.72  0.0000
16-OCT-1961 00 /  730:  121.7  4.400  71.80  13.00  22.20  15.70  28.70  15.10  18.61  0.0000
16-NOV-1961 00 /  731:  454.2  3.700  84.00  11.00  21.10  15.60  26.60  15.20  30.00  0.0000
16-DEC-1961 00 /  732:  204.8  3.900  71.30  12.20  21.50  15.40  27.60  15.50  24.95  0.0000
16-JAN-1962 00 /  733:  108.8  4.300  68.00  12.80  21.50  15.10  27.90  14.40  16.65  0.0000
15-FEB-1962 00 /  734:   20.7  5.200  47.60  15.20  22.50  14.90  30.10  14.90   8.10  0.0000
16-MAR-1962 00 /  735:  219.7  4.500  66.00  13.50  22.60  15.90  29.40  16.10  21.74  0.0000
16-APR-1962 00 /  736:  253.8  4.000  64.90  12.40  22.40  16.20  28.60  17.60  25.30  0.0000
16-MAY-1962 00 /  737:  316.8  3.500  66.90  11.20  21.60  16.00  27.20  17.50  25.92  0.0000
16-JUN-1962 00 /  738:  138.1  3.700  58.40  12.10  21.40  15.40  27.50  16.20  16.50  0.0000
16-JUL-1962 00 /  739:   88.3  3.800  60.80  12.90  21.00  14.60  27.50  15.70  13.69  0.0000
16-AUG-1962 00 /  740:   97.7  3.900  64.50  12.60  21.60  15.30  27.90  16.30  13.96  0.0000
16-SEP-1962 00 /  741:  153.3  4.500  61.40  13.70  21.70  14.90  28.60  15.30  18.06  0.0000
16-OCT-1962 00 /  742:  126.4  4.600  64.70  13.80  22.30  15.40  29.20  15.30  18.94  0.0000
16-NOV-1962 00 /  743:  106.2  4.500  61.60  14.40  22.30  15.10  29.50  15.80  18.97  0.0000
16-DEC-1962 00 /  744:   89.0  4.300  63.50  13.70  22.20  15.40  29.10  15.90  17.25  0.0000
16-JAN-1963 00 /  745:  110.5  4.600  62.90  13.90  22.30  15.40  29.30  14.90  16.57  0.0000
15-FEB-1963 00 /  746:  126.1  4.800  60.60  14.50  22.70  15.50  30.00  15.50  18.76  0.0000
16-MAR-1963 00 /  747:  136.9  4.500  67.30  13.60  22.90  16.10  29.70  16.50  17.61  0.0000
16-APR-1963 00 /  748:  239.7  3.700  73.30  11.60  21.80  16.00  27.60  17.00  24.56  0.0000
16-MAY-1963 00 /  749:  279.6  3.400  71.00  10.70  21.70  16.40  27.10  17.70  24.55  0.0000
16-JUN-1963 00 /  750:   70.6  3.600  61.40  12.00  21.20  15.20  27.20  16.10  12.04  0.0000
16-JUL-1963 00 /  751:   46.2  3.800  59.70  13.20  21.00  14.40  27.60  15.80  10.15  0.0000
16-AUG-1963 00 /  752:   85.4  4.000  61.90  13.60  21.00  14.20  27.80  15.30  12.96  0.0000
16-SEP-1963 00 /  753:   35.0  4.700  54.20  14.60  21.60  14.30  28.90  14.80   9.24  0.0000
16-OCT-1963 00 /  754:   60.7  5.000  59.40  15.30  23.20  15.60  30.90  15.30  13.59  0.0000
16-NOV-1963 00 /  755:  204.3  3.900  76.90  12.10  22.10  16.10  28.20  16.70  25.38  0.0000
16-DEC-1963 00 /  756:  146.2  4.000  74.50  12.70  21.90  15.60  28.30  15.70  21.39  0.0000
16-JAN-1964 00 /  757:   61.6  4.800  60.00  14.50  22.50  15.30  29.80  14.90  12.41  0.0000
15-FEB-1964 00 /  758:  199.5  4.800  61.70  14.20  23.20  16.10  30.30  16.20  22.83  0.0000
16-MAR-1964 00 /  759:  173.5  4.600  65.60  13.60  23.40  16.60  30.20  17.20  19.52  0.0000
16-APR-1964 00 /  760:  349.0  3.800  74.40  11.10  22.40  16.90  28.00  17.70  28.63  0.0000
16-MAY-1964 00 /  761:  122.8  3.600  68.10  11.70  21.90  16.10  27.80  17.60  16.99  0.0000
16-JUN-1964 00 /  762:  111.6  3.700  60.50  12.20  21.30  15.20  27.40  16.10  14.87  0.0000
16-JUL-1964 00 /  763:  136.4  3.600  64.40  12.70  20.30  14.00  26.70  15.20  16.46  0.0000
16-AUG-1964 00 /  764:   93.7  3.900  65.50  12.60  20.80  14.50  27.10  15.20  13.76  0.0000
16-SEP-1964 00 /  765:  150.2  4.500  60.10  14.00  21.00  14.00  28.00  14.30  17.86  0.0000
16-OCT-1964 00 /  766:   80.4  4.600  65.00  14.20  21.90  14.80  29.00  14.40  15.02  0.0000
16-NOV-1964 00 /  767:   77.4  4.500  61.10  14.70  22.40  15.10  29.80  15.70  16.10  0.0000
16-DEC-1964 00 /  768:  118.2  4.300  64.60  14.40  21.80  14.60  29.00  15.10  19.66  0.0000
16-JAN-1965 00 /  769:   86.0  4.900  56.50  15.20  22.20  14.60  29.80  14.40  15.06  0.0000
15-FEB-1965 00 /  770:   28.8  5.000  54.50  15.00  22.30  14.80  29.80  14.80   9.51  0.0000
