YEAR         X     XX          PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   14.7  4.900  60.40   9.40  27.40  22.70  32.10  25.90   6.38  0.0000
15-FEB-1960 00 /  710:   10.7  5.100  61.70  10.30  27.70  22.60  32.90  25.80   4.32  0.0000
16-MAR-1960 00 /  711:  105.9  4.500  67.20   8.60  27.70  23.40  32.00  27.20  11.27  0.0000
16-APR-1960 00 /  712:  261.3  3.900  71.00   7.50  26.90  23.20  30.70  27.50  18.24  0.0000
16-MAY-1960 00 /  713:  252.5  3.600  73.80   7.80  26.10  22.20  30.00  26.30  16.61  0.0000
16-JUN-1960 00 /  714:  144.1  3.600  70.60   7.30  24.70  21.10  28.40  23.60  11.73  0.0000
16-JUL-1960 00 /  715:   50.2  3.500  67.60   7.70  23.90  20.10  27.80  22.70   7.91  0.0000
16-AUG-1960 00 /  716:   32.4  4.000  61.60   8.70  24.10  19.80  28.50  22.40   8.34  0.0000
16-SEP-1960 00 /  717:   18.4  4.200  60.50   8.40  24.60  20.40  28.80  23.30   5.35  0.0000
16-OCT-1960 00 /  718:  104.3  4.300  61.30   8.50  25.50  21.30  29.80  24.40  11.47  0.0000
16-NOV-1960 00 /  719:   14.9  4.400  60.80   9.30  26.60  22.00  31.30  25.70   7.08  0.0000
16-DEC-1960 00 /  720:   17.7  4.700  61.30   9.70  27.40  22.60  32.30  26.60   6.75  0.0000
16-JAN-1961 00 /  721:   12.0  5.500  53.80  11.20  28.50  22.90  34.10  26.40   4.20  0.0000
15-FEB-1961 00 /  722:  105.0  5.200  60.00  10.00  27.90  22.90  32.90  25.80  12.04  0.0000
16-MAR-1961 00 /  723:   30.7  5.000  57.00  10.40  28.30  23.10  33.50  27.20   7.99  0.0000
16-APR-1961 00 /  724:  127.8  4.300  67.10   8.90  27.70  23.30  32.20  27.80  12.97  0.0000
16-MAY-1961 00 /  725:   81.4  3.900  69.70   8.10  27.20  23.20  31.30  27.40  11.39  0.0000
16-JUN-1961 00 /  726:   66.9  3.900  64.90   8.30  25.50  21.40  29.70  24.50   6.48  0.0000
16-JUL-1961 00 /  727:  228.0  3.500  69.10   6.70  24.80  21.50  28.20  24.30  19.88  0.0000
16-AUG-1961 00 /  728:   56.7  3.700  66.10   7.60  24.50  20.70  28.30  23.70  10.25  0.0000
16-SEP-1961 00 /  729:  197.4  4.000  64.80   7.50  24.70  21.00  28.50  23.90  15.88  0.0000
16-OCT-1961 00 /  730:  190.5  4.000  67.70   7.30  25.40  21.80  29.10  25.10  16.47  0.0000
