YEAR         X     XX          PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   70.2  3.500  61.50  13.50  22.80  16.10  29.60  19.10  12.66  0.0000
15-FEB-1960 00 /  710:  104.9  3.600  66.00  12.60  23.70  17.40  30.00  19.30  15.03  0.0000
16-MAR-1960 00 /  711:   91.8  3.400  74.90  12.30  23.40  17.30  29.60  20.00  15.08  0.0000
16-APR-1960 00 /  712:  110.5  2.900  82.20  10.50  22.90  17.70  28.20  20.90  17.42  0.0000
16-MAY-1960 00 /  713:  103.2  3.100  68.30  11.20  23.30  17.70  28.90  21.40  16.51  0.0000
16-JUN-1960 00 /  714:   62.1  2.300  99.50  11.00  22.80  17.30  28.30  20.70   8.12  0.0000
16-JUL-1960 00 /  715:   57.4  2.800  71.00  11.10  21.70  16.20  27.30  20.00   8.15  0.0000
16-AUG-1960 00 /  716:  151.6  2.900  75.80  10.80  22.10  16.70  27.50  20.50  12.54  0.0000
16-SEP-1960 00 /  717:  101.8  3.100  71.70  11.30  22.30  16.70  28.00  20.40  13.46  0.0000
16-OCT-1960 00 /  718:  144.8  3.100  72.00  11.40  22.30  16.60  28.00  20.70  18.16  0.0000
16-NOV-1960 00 /  719:  102.1  3.100  68.00  12.20  22.70  16.60  28.80  20.50  15.92  0.0000
16-DEC-1960 00 /  720:   45.5  3.200  65.20  12.60  23.10  16.80  29.40  20.20  11.81  0.0000
16-JAN-1961 00 /  721:   38.7  3.400  65.40  14.20  23.10  16.00  30.20  19.40   8.42  0.0000
15-FEB-1961 00 /  722:   62.5  3.500  65.90  12.80  23.20  16.80  29.60  19.00  12.13  0.0000
16-MAR-1961 00 /  723:   85.2  3.500  70.10  12.60  23.70  17.40  30.00  20.40  14.69  0.0000
16-APR-1961 00 /  724:  128.8  3.200  73.20  11.40  23.50  17.80  29.20  21.60  18.69  0.0000
16-MAY-1961 00 /  725:  128.6  3.300  64.30  11.50  23.90  18.20  29.70  22.20  18.19  0.0000
16-JUN-1961 00 /  726:  164.5  3.000  68.60  10.90  22.80  17.40  28.30  21.20  13.00  0.0000
16-JUL-1961 00 /  727:  131.1  2.700  73.50  10.50  21.80  16.60  27.10  20.70  11.96  0.0000
16-AUG-1961 00 /  728:  168.6  2.700  79.00   9.70  21.60  16.80  26.50  20.60  13.22  0.0000
16-SEP-1961 00 /  729:  168.1  3.000  74.10  10.60  22.10  16.80  27.40  20.50  16.93  0.0000
16-OCT-1961 00 /  730:  170.1  2.800  81.90  10.40  22.00  16.80  27.20  20.80  19.51  0.0000
16-NOV-1961 00 /  731:  304.4  2.700  83.90  10.60  21.80  16.50  27.10  19.80  25.96  0.0000
16-DEC-1961 00 /  732:   87.0  2.900  70.00  11.20  21.60  16.00  27.20  19.00  16.10  0.0000
16-JAN-1962 00 /  733:   70.6  3.300  62.80  12.80  21.80  15.40  28.20  18.30  13.10  0.0000
15-FEB-1962 00 /  734:   24.7  4.000  51.70  14.90  23.30  15.90  30.80  18.60   6.55  0.0000
16-MAR-1962 00 /  735:  114.2  3.300  73.60  12.20  23.30  17.20  29.40  20.30  16.75  0.0000
16-APR-1962 00 /  736:  125.1  3.100  73.20  11.40  23.10  17.40  28.80  21.20  18.33  0.0000
16-MAY-1962 00 /  737:  131.1  3.000  70.30  11.00  22.80  17.30  28.30  21.20  18.26  0.0000
16-JUN-1962 00 /  738:  126.9  2.900  70.00  10.90  22.40  17.00  27.90  20.70  11.65  0.0000
16-JUL-1962 00 /  739:   48.9  2.900  70.20  11.20  21.90  16.30  27.50  20.50   7.51  0.0000
16-AUG-1962 00 /  740:  143.0  2.800  78.80  10.30  21.90  16.80  27.10  20.60  12.45  0.0000
16-SEP-1962 00 /  741:  188.2  3.000  74.40  11.10  22.20  16.70  27.80  20.90  17.75  0.0000
16-OCT-1962 00 /  742:  190.6  3.000  74.10  11.40  22.10  16.40  27.80  20.80  20.41  0.0000
16-NOV-1962 00 /  743:  121.7  3.200  66.10  12.70  22.60  16.30  29.00  20.80  17.17  0.0000
16-DEC-1962 00 /  744:   92.3  3.100  68.10  12.30  22.60  16.50  28.80  20.00  16.13  0.0000
16-JAN-1963 00 /  745:  151.5  3.300  65.20  12.80  22.90  16.50  29.30  19.50  18.50  0.0000
15-FEB-1963 00 /  746:   99.9  3.700  61.50  13.20  23.40  16.80  30.00  19.30  15.30  0.0000
16-MAR-1963 00 /  747:  110.3  3.500  70.00  12.60  23.60  17.30  29.90  20.40  16.13  0.0000
16-APR-1963 00 /  748:  182.7  2.900  79.20  10.90  22.80  17.40  28.30  21.20  21.95  0.0000
