YEAR         X      XX         PRED   PETD   CLDD   DTRD   TMPD   TMND   TMXD   VAPD   WETD    FRSD
16-JAN-1960 00 /  709:   63.6  4.500  56.90  13.00  19.00  12.50  25.50  12.90   8.39  0.00000
15-FEB-1960 00 /  710:    5.8  4.700  61.90  13.80  19.70  12.80  26.60  13.10   8.22  0.00000
16-MAR-1960 00 /  711:  260.9  4.100  78.00  12.30  19.60  13.50  25.80  14.40  20.99  0.00000
16-APR-1960 00 /  712:  153.0  3.200  83.70   9.90  19.10  14.20  24.10  15.70  18.79  0.00000
16-MAY-1960 00 /  713:   82.9  2.900  79.50   9.60  18.60  13.80  23.40  15.60  12.37  0.00000
16-JUN-1960 00 /  714:   28.4  2.400  99.60  10.00  16.90  11.90  21.90  13.70   5.49  0.00000
16-JUL-1960 00 /  715:    7.4  2.500  84.50  10.30  15.80  10.70  21.00  13.10   7.65  0.00000
16-AUG-1960 00 /  716:   19.0  2.900  80.10  10.70  16.40  11.10  21.80  13.10   4.03  0.00000
16-SEP-1960 00 /  717:   27.6  3.600  72.00  12.60  17.90  11.60  24.20  13.20   4.87  0.00000
16-OCT-1960 00 /  718:   63.5  4.000  70.50  12.30  19.00  12.90  25.20  13.60  11.04  0.00000
16-NOV-1960 00 /  719:   69.8  3.500  76.30  10.20  18.70  13.60  23.80  14.90  18.08  0.00000
16-DEC-1960 00 /  720:   39.3  4.000  64.40  11.70  19.00  13.20  24.90  14.00  11.26  0.00000
16-JAN-1961 00 /  721:    5.4  5.100  49.50  15.10  19.90  12.40  27.50  12.70   3.19  0.00000
15-FEB-1961 00 /  722:    9.7  4.800  61.30  13.80  19.90  13.00  26.80  13.10   3.83  0.00000
16-MAR-1961 00 /  723:   82.1  4.600  65.80  13.30  20.30  13.70  27.00  14.40  10.39  0.00000
16-APR-1961 00 /  724:  139.3  3.500  76.50  10.60  19.80  14.50  25.10  15.90  19.92  0.00000
16-MAY-1961 00 /  725:  118.5  3.100  74.80  10.10  19.70  14.70  24.80  16.50  18.05  0.00000
16-JUN-1961 00 /  726:   23.4  2.900  72.80  10.70  17.70  12.40  23.10  14.50   8.08  0.00000
16-JUL-1961 00 /  727:   15.6  2.400  84.90  10.00  16.40  11.40  21.40  14.10   6.54  0.00000
16-AUG-1961 00 /  728:   23.1  2.600  86.70  10.00  16.40  11.40  21.40  13.50   7.80  0.00000
16-SEP-1961 00 /  729:   39.2  3.500  75.40  11.80  17.80  11.90  23.70  13.40   8.44  0.00000
16-OCT-1961 00 /  730:  156.8  3.800  76.30  11.30  18.50  12.90  24.20  13.50  14.11  0.00000
16-NOV-1961 00 /  731:  526.4  2.900  90.70   8.10  17.40  13.40  21.50  14.30  30.00  0.00000
16-DEC-1961 00 /  732:  270.9  3.500  74.30  10.00  17.90  12.90  22.90  13.80  16.42  0.00000
16-JAN-1962 00 /  733:  170.4  4.100  69.70  11.70  17.90  12.10  23.80  12.20  16.67  0.00000
15-FEB-1962 00 /  734:   22.0  5.000  51.70  14.70  19.10  11.80  26.50  12.00   5.23  0.00000
16-MAR-1962 00 /  735:   29.8  4.400  68.20  12.70  19.60  13.30  26.00  13.60   9.91  0.00000
16-APR-1962 00 /  736:  147.7  3.600  73.20  10.70  19.50  14.20  24.90  15.60  22.91  0.00000
16-MAY-1962 00 /  737:  294.9  2.900  77.40   9.50  17.90  13.20  22.70  14.70  24.47  0.00000
16-JUN-1962 00 /  738:   64.4  2.800  73.40  10.50  16.90  11.70  22.20  13.60   6.88  0.00000
16-JUL-1962 00 /  739:    1.7  2.700  80.90  11.10  15.90  10.40  21.50  12.70   4.44  0.00000
16-AUG-1962 00 /  740:   38.2  2.800  81.30  10.80  16.60  11.20  22.00  13.50   9.27  0.00000
16-SEP-1962 00 /  741:   10.7  3.600  72.30  12.80  17.70  11.30  24.10  13.00   6.07  0.00000
16-OCT-1962 00 /  742:   83.7  4.000  69.50  12.30  18.70  12.60  24.90  13.60  10.91  0.00000
16-NOV-1962 00 /  743:  100.3  3.700  68.70  11.30  18.60  13.00  24.30  14.60  21.67  0.00000
16-DEC-1962 00 /  744:   90.8  3.800  66.70  11.30  18.50  12.90  24.20  14.10  13.05  0.00000
16-JAN-1963 00 /  745:  112.6  4.400  63.40  13.00  18.60  12.10  25.10  12.50  15.12  0.00000
15-FEB-1963 00 /  746:   69.2  4.800  61.10  14.10  19.40  12.40  26.50  12.60  10.91  0.00000
16-MAR-1963 00 /  747:  108.0  4.200  72.10  12.40  19.90  13.70  26.10  14.40  15.62  0.00000
16-APR-1963 00 /  748:  349.0  3.300  82.10  10.30  18.90  13.80  24.10  15.10  25.55  0.00000
16-MAY-1963 00 /  749:  304.1  2.800  82.70   9.00  17.90  13.40  22.40  14.80  21.80  0.00000
16-JUN-1963 00 /  750:   35.7  2.600  79.80  10.20  16.50  11.40  21.60  13.40   7.65  0.00000
16-JUL-1963 00 /  751:   10.8  2.700  78.90  11.20  15.90  10.30  21.50  12.80   2.13  0.00000
16-AUG-1963 00 /  752:   41.0  2.900  80.60  11.40  15.80  10.10  21.50  12.30   8.62  0.00000
16-SEP-1963 00 /  753:    6.2  3.800  66.70  13.30  17.50  10.90  24.20  12.30   3.43  0.00000
16-OCT-1963 00 /  754:    8.9  4.300  65.00  13.20  19.40  12.80  26.00  13.40   6.40  0.00000
16-NOV-1963 00 /  755:  205.7  3.100  85.10   8.80  18.40  14.00  22.80  15.40  26.21  0.00000
16-DEC-1963 00 /  756:  243.2  3.500  80.10  10.30  18.10  13.00  23.30  13.80  19.49  0.00000
16-JAN-1964 00 /  757:   45.6  4.500  60.10  13.30  18.80  12.20  25.50  12.50   9.51  0.00000
15-FEB-1964 00 /  758:  105.9  4.800  61.40  14.00  19.80  12.80  26.80  13.20  11.55  0.00000
16-MAR-1964 00 /  759:  103.8  4.300  70.10  12.30  20.30  14.20  26.50  15.10  18.24  0.00000
16-APR-1964 00 /  760:  363.5  3.200  84.80   9.60  19.40  14.60  24.20  15.90  26.77  0.00000
16-MAY-1964 00 /  761:   86.5  2.900  80.90   9.80  18.10  13.20  23.00  14.60  18.43  0.00000
16-JUN-1964 00 /  762:   18.5  2.700  77.70  10.40  16.70  11.50  21.90  13.40   6.53  0.00000
16-JUL-1964 00 /  763:   30.1  2.600  83.80  11.00  15.10   9.60  20.60  12.00   8.85  0.04000
16-AUG-1964 00 /  764:   51.3  2.900  81.40  10.90  15.70  10.30  21.20  12.20   7.26  0.00000
16-SEP-1964 00 /  765:   21.2  3.700  70.20  13.20  16.90  10.30  23.50  11.80   3.72  0.00000
16-OCT-1964 00 /  766:   32.6  4.100  68.10  12.70  18.20  11.90  24.60  12.40   8.97  0.00000
16-NOV-1964 00 /  767:   69.8  3.800  67.70  11.40  18.60  12.90  24.30  14.30  18.49  0.00000
16-DEC-1964 00 /  768:   62.0  3.900  67.90  12.00  18.00  12.00  24.00  12.90  11.92  0.00000
16-JAN-1965 00 /  769:   78.7  4.500  59.80  13.60  18.40  11.60  25.20  11.80  12.27  0.00000
