Date,Musanze,Mombasa,Maseno,Lome,Lagos,Koulikoro,Kigali,Kayonza,Kamembe,Nairobi
16/01/1960,4.5,3.5,4.9,3.7,3.5,4.1,2.6,3.7,3.5,4.5
15/02/1960,4.7,3.6,5.1,4.2,4,4.6,2.8,3.7,3.7,4.7
16/03/1960,4.1,3.4,4.5,4.2,3.9,4.7,2.4,3.5,3.5,4.1
16/04/1960,3.2,2.9,3.9,3.9,3.6,4.2,2.1,2.9,2.9,3.2
16/05/1960,2.9,3.1,3.6,3.5,3.3,3.5,2.4,3,3.1,2.9
16/06/1960,2.4,2.3,3.6,2.8,2.6,3,2.4,2.2,2.1,2.4
16/07/1960,2.5,2.8,3.5,2.7,2.5,2.5,3.1,2.7,2.6,2.5
16/08/1960,2.9,2.9,4,2.9,2.6,2.6,3.2,2.8,2.7,2.9
16/09/1960,3.6,3.1,4.2,3,2.7,2.7,3,3,3,3.6
16/10/1960,4,3.1,4.3,3.3,2.9,3.1,2.8,3.1,3,4
16/11/1960,3.5,3.1,4.4,3.6,3.2,3.7,2.5,3.2,3.2,3.5
16/12/1960,4,3.2,4.7,3.4,3.3,4.2,2.5,3.5,3.3,4
16/01/1961,5.1,3.4,5.5,3.6,3.3,4.1,2.6,3.7,3.5,5.1
15/02/1961,4.8,3.5,5.2,4.4,4.3,4.6,2.7,3.7,3.6,4.8
16/03/1961,4.6,3.5,5,4.6,4.4,4.8,2.6,3.6,3.6,4.6
16/04/1961,3.5,3.2,4.3,3.9,3.6,4.1,2.4,3.3,3.3,3.5
16/05/1961,3.1,3.3,3.9,3.5,3.3,3.6,2.5,3.2,3.2,3.1
16/06/1961,2.9,3,3.9,2.7,2.5,2.9,2.9,2.9,2.7,2.9
16/07/1961,2.4,2.7,3.5,2.5,2.3,2.4,3,2.7,2.4,2.4
16/08/1961,2.6,2.7,3.7,2.9,2.7,2.5,3,2.6,2.5,2.6
16/09/1961,3.5,3,4,3.1,2.7,2.7,3,2.9,2.9,3.5
16/10/1961,3.8,2.8,4,3.5,3,3.2,2.6,2.8,2.7,3.8
16/11/1961,2.9,2.7,3.8,3.6,3.2,3.9,2.2,2.7,2.7,2.9
16/12/1961,3.5,2.9,4.2,3.5,3.6,4.2,2.2,3.2,3,3.5
16/01/1962,4.1,3.3,4.3,3.8,3.7,4.2,2.4,3.5,3.4,4.1
15/02/1962,5,4,5.1,4.4,4.3,4.7,2.9,4.2,4.1,5
16/03/1962,4.4,3.3,5,4.2,4,4.6,2.5,3.5,3.4,4.4
16/04/1962,3.6,3.1,4.2,4,3.7,4,2.3,3.2,3.1,3.6
16/05/1962,2.9,3,3.6,3.4,3.2,3.5,2.2,2.9,2.9,2.9
16/06/1962,2.8,2.9,3.9,2.6,2.3,2.9,2.7,2.9,2.7,2.8
16/07/1962,2.7,2.9,3.7,2.6,2.4,2.6,3.2,2.8,2.6,2.7
16/08/1962,2.8,2.8,3.8,2.8,2.5,2.6,3.1,2.8,2.6,2.8
16/09/1962,3.6,3,4.1,3.1,2.7,2.7,3.1,2.9,2.9,3.6
16/10/1962,4,3,4.2,3.3,2.9,3.1,2.7,3,3,4
16/11/1962,3.7,3.2,4.4,3.3,2.8,3.5,2.6,3.3,3.2,3.7
