Year,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C49,C50,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50
1960,103.8,88.8,83.0,61.2,104.1,40.7,74.9,144.8,97.2,155.1,116.9,97.7,2.1,56.5,219.4,42.9,65.2,60.3,50.8,82.4,154.0,77.3,116.9,68.3,55.0,86.7,41.8,231.0,79.7,60.3,57.6,8.4,78.2,211.3,48.7,15.2,24.1,131.0,173.2,159.0,21.4,95.5,137.0,194.7,229.5,117.5,20.3,51.7,65.2,60.3
1961,97.0,91.0,98.8,36.2,86.2,37.8,76.4,134.8,98.9,163.8,136.1,78.3,2.0,40.0,242.5,82.5,81.7,37.8,63.9,79.4,117.4,66.3,136.1,81.7,66.1,94.9,31.0,275.8,50.8,50.2,58.2,11.4,61.7,228.7,42.1,23.9,23.2,103.9,153.3,147.8,22.0,83.1,140.5,184.4,216.4,133.6,29.7,63.7,81.7,37.8
1962,87.1,106.9,81.1,48.4,115.8,40.0,90.8,146.4,85.7,161.3,131.7,110.0,3.8,75.0,250.5,57.5,87.5,50.7,48.4,103.9,162.8,92.7,131.7,85.2,54.9,87.8,86.6,260.9,147.1,55.6,54.6,10.6,74.5,192.7,44.2,19.5,17.3,114.4,166.0,151.7,29.5,99.2,133.5,188.8,240.5,135.6,27.4,48.7,87.5,50.7
1963,114.5,99.1,95.2,44.2,97.3,43.4,77.5,137.6,104.0,153.1,129.9,131.4,0.7,52.8,230.1,66.7,108.2,48.1,50.1,99.7,122.7,108.8,129.9,83.0,64.2,100.5,33.7,279.7,109.1,42.1,61.4,8.7,84.5,214.4,65.4,17.1,45.8,122.7,165.7,151.7,12.9,90.9,130.0,187.5,236.0,174.6,23.9,51.5,108.2,48.1
1964,116.8,118.2,107.9,46.9,119.7,58.3,91.2,123.0,97.6,174.9,112.7,101.6,1.2,60.8,251.1,70.0,64.1,45.7,52.7,78.9,142.6,89.7,112.7,71.6,56.2,63.5,59.3,267.1,104.2,43.5,56.0,10.5,72.7,211.3,46.4,27.4,20.3,137.1,148.9,159.2,16.7,110.6,160.0,174.1,196.0,77.9,14.9,53.2,64.1,45.7
1965,106.5,84.0,93.1,44.7,113.5,61.1,86.7,141.7,100.5,145.0,117.3,90.0,4.2,62.5,226.0,61.0,80.2,42.1,49.3,82.1,104.4,72.7,117.3,75.8,48.9,74.0,30.4,249.7,68.1,48.6,63.5,12.3,74.0,208.0,40.4,16.4,26.5,106.2,164.1,114.3,35.5,106.0,125.6,180.7,226.9,91.8,24.8,51.3,80.2,42.1
1966,94.5,90.7,105.2,40.3,114.2,29.4,73.1,142.3,112.8,186.9,128.3,105.3,1.1,49.5,232.4,55.5,70.7,40.5,38.2,84.7,116.0,77.2,128.3,57.1,47.0,101.3,48.2,282.9,85.5,43.6,63.0,10.8,63.9,208.7,36.4,17.4,30.6,103.9,177.9,120.0,14.5,94.7,164.6,189.2,216.8,122.9,19.6,38.7,70.7,40.5
1967,106.2,86.0,107.9,49.6,114.0,28.9,110.6,133.3,123.5,159.2,122.2,95.9,2.2,59.3,258.9,67.7,84.9,51.2,77.2,84.1,98.2,73.4,122.2,71.0,64.1,117.3,49.0,301.2,92.0,38.9,47.5,11.3,62.4,202.2,31.7,23.0,33.7,98.8,157.6,139.5,24.2,106.0,122.2,174.1,189.2,138.4,24.5,80.9,84.9,51.2
1968,110.8,88.4,104.7,46.5,106.2,38.8,94.7,128.1,122.5,152.7,107.1,122.0,1.8,63.0,212.7,88.6,55.2,45.8,52.7,92.6,130.4,91.7,107.1,60.0,44.6,75.1,65.0,281.3,96.1,53.3,68.7,11.4,76.3,213.3,47.1,17.0,27.2,109.9,164.0,128.1,17.5,86.9,137.7,203.4,213.1,78.6,19.3,53.4,55.2,45.8
1969,104.4,120.7,94.2,48.6,98.1,22.8,65.7,143.9,62.5,124.3,119.2,95.1,2.5,50.0,220.4,40.0,86.8,50.8,48.4,88.6,124.5,80.1,119.2,90.7,52.3,94.9,59.9,278.2,73.1,39.4,42.9,6.5,63.0,220.3,60.6,14.4,23.0,122.4,159.5,160.6,24.7,79.3,104.9,189.9,197.0,121.3,35.5,50.7,86.8,50.8
1970,106.1,90.4,82.1,61.3,99.1,18.5,82.0,141.0,107.1,185.1,127.9,99.6,1.3,56.0,243.1,77.9,71.3,57.6,54.8,85.7,112.2,80.2,127.9,74.7,34.5,88.9,35.4,276.2,87.4,33.3,44.0,13.6,77.6,206.8,49.3,14.0,15.0,99.7,162.8,125.4,9.7,95.1,151.8,191.2,208.4,106.5,19.3,57.8,71.3,57.6
1971,102.4,88.2,95.1,48.1,110.2,31.8,60.0,109.7,86.5,128.5,107.2,100.9,2.3,52.7,205.2,48.1,81.5,49.3,66.2,82.5,99.7,75.4,107.2,93.0,58.5,101.1,22.1,196.6,72.5,41.1,37.3,6.3,62.0,188.9,59.2,16.4,33.6,113.3,169.3,126.6,29.2,95.2,125.1,172.5,220.6,91.6,23.4,68.7,81.5,49.3
1972,108.3,83.7,107.3,56.7,130.6,28.9,74.4,134.6,79.8,117.8,100.5,93.2,2.6,48.7,212.8,46.6,81.0,58.0,58.0,75.9,97.5,80.8,100.5,68.0,62.5,132.1,34.9,246.2,61.5,35.9,41.3,6.1,73.2,193.2,48.4,26.0,33.9,118.2,160.0,115.9,24.3,114.5,115.7,173.4,205.2,118.4,16.3,63.3,81.0,58.0
1973,85.7,73.2,61.0,68.3,146.5,24.6,53.4,132.1,59.0,110.3,124.7,94.0,1.5,36.9,189.3,30.7,71.2,68.3,46.9,76.5,116.4,77.1,124.7,63.4,36.3,72.4,49.9,219.6,79.8,25.1,29.5,3.6,67.1,174.7,39.4,21.6,19.9,79.9,173.3,106.2,19.2,123.0,102.0,157.3,191.8,67.3,18.9,48.7,71.2,68.3
1974,99.1,97.1,97.8,53.9,118.2,43.0,79.8,125.3,74.7,115.1,129.8,103.8,3.0,59.0,205.1,29.9,99.2,56.2,63.3,86.7,123.1,84.2,129.8,94.8,62.1,115.1,28.3,230.4,68.6,35.2,38.9,6.0,60.1,179.8,50.6,19.9,59.3,104.1,156.9,140.8,26.2,106.3,106.5,170.9,209.2,171.7,20.7,64.6,99.2,56.2
1975,110.1,88.1,93.5,47.7,127.7,35.2,96.4,121.9,85.7,133.3,113.6,80.8,1.8,79.9,196.5,58.2,62.8,49.6,69.6,78.3,100.8,71.1,113.6,68.9,64.9,101.8,21.8,228.3,55.0,42.4,54.2,11.4,73.0,190.5,29.5,27.1,34.7,106.6,149.1,131.4,28.1,127.5,123.5,172.6,192.7,138.0,28.6,76.1,62.8,49.6
1976,103.4,76.5,93.9,52.9,107.4,52.7,78.6,134.0,107.5,170.0,120.8,97.2,0.7,63.0,217.8,61.1,89.2,55.3,71.6,95.5,124.4,81.7,120.8,86.7,82.1,141.6,40.0,210.3,54.7,50.9,57.6,10.5,60.6,197.5,43.8,39.7,49.1,96.3,160.8,160.3,16.9,94.0,147.5,189.0,198.7,163.7,21.4,72.4,89.2,55.3
1977,90.3,57.8,97.0,41.8,104.7,35.7,91.6,149.2,87.9,152.2,114.7,102.2,1.1,86.9,218.7,39.4,75.6,45.3,59.7,75.6,121.1,88.4,114.7,78.5,65.8,91.6,48.3,236.1,105.5,39.6,56.9,8.7,66.5,184.1,48.8,16.6,39.7,83.2,143.0,93.3,20.2,82.3,123.9,184.6,202.8,110.0,13.5,59.3,75.6,45.3
