EGS4023 2014 data
cdl : cloud cover
Pet : Potential evapotranspitation
Pre : Precipitation
Tmn : Minimum Temperature
Tmp :Mean Temperature
Tmx : Maximum Temperature
Vap : Vapour Pressure
Wet :wet day frequency
spei : standardized precipitation-evapotranspiration index
MEI : Multivariate ENSO Index
NINO34: East Central Tropical Pacific Sea Surface Temperature (SST)
QBO : Quasi-Biennial Oscillation
SOI:Southern Oscillation Index 
AO : Artic Oscillation
ONI : Oceanic Nino Index 
WP : Western Pacific Index

data obtained from:
http://www.esrl.noaa.gov/psd/data/climateindices/list/


Year	Month	Cld	Pet	Pre	Tmn	Tmp	Tmx	Vap	Wet	spei01	MEI	NINO34	QBO	SOI	AO	ONI	WP
1960	1	49.84	5.12	41.84	17.65	24.75	31.9	19.68	6.39	-1.19	-0.31	26.25	4.79	0.2	-2.48	-0.15	-0.03
1960	2	56.89	4.31	81.64	18.42	24.26	30.14	21.04	8.08	-0.05	-0.26	26.27	3.39	0.2	-2.21	-0.36	0.54
1960	3	44.22	4.24	49	16.91	23.67	30.47	19.3	7.17	-0.4	-0.08	26.97	-0.04	1.7	-1.62	-0.18	-1.48
1960	4	46.3	3.25	46.74	13.67	20.6	27.58	16.52	4.45	0.99	0.02	27.51	-1.08	1.3	-0.3	-0.06	-0.21
1960	5	29.88	2.83	6.19	8.77	17.19	25.66	12.18	2.27	-0.14	-0.32	27.62	-3.91	0.9	-0.86	0	-0.1
1960	6	42.45	2.16	13.44	7.5	15.2	22.96	12.12	2.35	1.42	-0.24	27.24	-8.98	0.2	0.06	-0.14	0.45
1960	7	27.83	2.57	4.57	5.01	13.89	22.81	9.34	3.12	0.23	-0.36	27.07	-13.86	0.8	-0.62	0.08	0.02
1960	8	31.76	3.52	6.02	9.55	18.36	27.21	12.3	0.48	-0.11	-0.25	26.85	-16.04	1.3	-1.01	0.32	0.6
1960	9	40.25	4.35	6.36	12.68	20.51	28.39	13.45	2.56	0.35	-0.47	26.6	-16.01	1.1	-0.38	0.26	0.4
1960	10	45.13	5.28	18.33	16.61	24.05	31.54	16.69	4.36	-0.76	-0.36	26.35	-15.62	0.2	-1.19	0.08	0.84
1960	11	66.37	4.27	110.91	17.3	23.15	29.05	19.19	8.36	1.28	-0.34	26.34	-14.42	0.9	-0.55	0.08	-0.51
