	TIME:	31-Dec-59	12:00	to	31-Dec-10	12:00							
	LONGITUDE:	35.8E											
	LATITUDE:	3.3N											
	Column	01:00	PRED	is	"PRE[D=cru_ts4.03.1901.2018.pre.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	02:00	PETD	is	"PET[D=cru_ts4.03.1901.2018.pet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	03:00	CLDD	is	"CLD[D=cru_ts4.03.1901.2018.cld.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	04:00	DTRD	is	"DTR[D=cru_ts4.03.1901.2018.dtr.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	05:00	TMPD	is	"TMP[D=cru_ts4.03.1901.2018.tmp.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	06:00	TMND	is	"TMN[D=cru_ts4.03.1901.2018.tmn.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	07:00	TMXD	is	"TMX[D=cru_ts4.03.1901.2018.tmx.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	08:00	VAPD	is	"VAP[D=cru_ts4.03.1901.2018.vap.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	09:00	WETD	is	"WET[D=cru_ts4.03.1901.2018.wet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	10:00	FRSD	is	"FRS[D=cru_ts4.03.1901.2018.frs.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
				PRED	PETD	CLDD	DTRD	TMPD	TMND	TMXD	VAPD	WETD	FRSD
16-Jan-60	0	/	709:00:00	12.5	6.5	38	14.2	28.3	21.2	35.4	16	5.58	0
15-Feb-60	0	/	710:00:00	9.6	6.7	47.6	13.5	29.5	22.8	36.3	17.4	4.04	0
16-Mar-60	0	/	711:00:00	49.9	6.2	66.3	12.1	29.2	23.2	35.3	18.9	8.35	0
16-Apr-60	0	/	712:00:00	40.8	5.5	65.6	11.2	28.9	23.3	34.5	21	7.2	0
16-May-60	0	/	713:00:00	14.4	5.6	56.9	10.5	29	23.8	34.3	21.3	4.45	0
16-Jun-60	0	/	714:00:00	7.5	5.2	75.3	11	28.4	22.9	33.9	19.5	3.49	0
16-Jul-60	0	/	715:00:00	13.9	5.5	56.4	10	27.7	22.7	32.7	19.1	6.08	0
16-Aug-60	0	/	716:00:00	3	6	51	10.5	28	22.8	33.3	18.5	3.59	0
16-Sep-60	0	/	717:00:00	4.6	6.4	47.1	11.1	28.9	23.4	34.5	18.3	3.46	0
16-Oct-60	0	/	718:00:00	6.1	6.3	55	10.7	29.1	23.8	34.5	18.3	4.68	0
16-Nov-60	0	/	719:00:00	14.6	5.9	51.6	11.4	28.6	22.9	34.3	18.1	5	0
16-Dec-60	0	/	720:00:00	10.1	6	47.6	13	29.1	22.6	35.6	17.6	4.23	0
16-Jan-61	0	/	721:00:00	7	6.6	39.6	13.9	28.7	21.8	35.7	15.8	2.46	0
15-Feb-61	0	/	722:00:00	4.7	6.7	44.5	13.2	29.3	22.7	35.9	17.3	3.57	0
16-Mar-61	0	/	723:00:00	22.1	6.6	53.6	12.6	29.8	23.5	36.1	19.1	5.52	0
16-Apr-61	0	/	724:00:00	54.1	5.8	61.4	11.1	29.6	24.1	35.2	21.5	8.2	0
16-May-61	0	/	725:00:00	30.8	6	50	10.6	30.2	24.9	35.5	22	7.21	0
