Year,Cld,Pet,Pre,Tmn,Tmp,Tmx,Vap,Wet,SPEI,MEI,NINO34,QBO,SOI,AO,ONI,WP
1960,49.84,5.12,41.84,17.65,24.75,31.9,19.68,6.39,-1.19,-0.31,26.25,4.79,0.2,-2.48,-0.15,-0.03
1961,54.45,4.75,60.98,17.82,24.17,30.58,20.24,7.83,-0.6,-0.15,26.38,-5.47,-0.4,-1.51,0.01,-0.61
1962,58.02,4.68,98.77,18.78,24.7,30.66,20.77,9.5,0.03,-1.09,26.12,2.84,3.3,1.64,-0.24,-1.92
1963,58.4,4.56,68.86,18,23.98,30.01,20.21,9.57,-0.33,-0.7,25.86,-17.35,1.7,-3.31,-0.5,-3.28
1964,55.51,4.9,77.91,19.03,25.15,31.32,20.49,10.71,-0.33,0.86,27.43,3.94,-0.6,0.38,1.05,-0.16
1965,57.87,4.68,60.81,18.52,24.53,30.59,20.43,6.39,-0.51,-0.52,25.78,-1.03,-0.7,-1.05,-0.58,-1
1966,55.9,5,101,20.24,26.57,32.95,22.86,11.7,-0.01,1.31,27.75,-21.9,-2.2,-3.23,1.29,0.42
1967,64.52,4.48,152.48,19.41,24.88,30.39,20.98,10.29,0.94,-0.47,26.18,11.03,2.8,-0.58,-0.29,0.86
1968,49.93,5.35,30,19.55,26.53,33.55,21.61,5.34,-1.64,-0.59,25.78,-8.38,0.9,-0.41,-0.68,-2.08
1969,53.91,5.05,57.52,19.63,26.18,32.79,22.35,7.56,-0.87,0.69,27.55,-8.58,-2.4,-2.97,1.09,-0.71
1970,51.61,5.2,13.38,19.6,26.41,33.26,22.2,4.72,-1.93,0.36,27.05,0.3,-1.9,-2.41,0.61,-2.17
1971,63.95,4.31,146.33,18.63,23.92,29.27,20.54,11.33,1,-1.23,25.09,-10.67,0.6,-0.16,-1.42,-2.51
1972,66.42,4.12,227.93,19.15,24.1,29.1,21.88,12.5,1.72,-0.59,25.84,8.2,0.8,0.17,-0.67,-0.05
1973,51.28,5.32,65.28,20.15,27.01,33.92,22.5,7.91,-0.88,1.7,28.44,-4.4,-0.5,1.23,1.91,0.47
1974,62.64,4.4,110.68,18.88,24.35,29.87,21.12,11.2,0.43,-1.94,24.52,-0.91,4,0.23,-1.99,-3.37
1975,56.37,4.73,128.54,18.26,24.43,30.65,20.35,12.01,0.6,-0.56,26.18,-16.7,-0.8,1.6,-0.33,-0.46
1976,64.41,4.29,116,17.98,23.55,29.15,19.83,7.33,0.53,-1.63,24.72,9.22,2.3,0.03,-1.78,-0.71
1977,50.52,5.25,97.68,19.52,26.38,33.3,22.15,9.26,-0.15,0.52,27.31,-14.44,-0.7,-3.77,0.81,-1.08
1978,73.25,3.72,201.59,19.08,23.77,28.51,22.75,12.32,1.65,0.78,27.32,3.21,-0.5,-0.35,0.81,-0.01
1979,52.57,4.81,81.54,17.55,24.1,30.71,20.09,10.11,-0.21,0.6,26.45,1.86,-0.7,-2.23,-0.05,1.43
1980,52.4,4.82,100.99,18.17,24.38,30.64,20.47,8.79,0.17,0.69,27.1,-10.11,0.7,-2.07,0.59,-1.71
1981,60.2,4.52,193.92,19.62,25.05,30.53,22.31,12.79,1.42,-0.25,26.17,8.51,0.6,-0.12,-0.5,-0.82
1982,55.33,4.9,75.83,19.46,25.6,31.8,21.77,8.7,-0.38,-0.28,26.69,-12.52,2,-0.88,0.02,0.03
1983,50.28,5.44,40.11,20.12,27.17,34.28,22.25,6.71,-1.51,2.69,28.93,10.85,-5.8,1.36,2.25,-0.05
1984,49.26,5.21,58.09,19.42,26.11,32.86,22.04,7.2,-0.92,-0.34,26.14,-10.65,0.3,0.9,-0.54,-1.67
1985,57.62,4.63,143.74,19.47,25.15,30.88,22.35,11.66,0.81,-0.56,25.58,-0.37,-0.5,-2.81,-1.09,-0.61
1986,56.61,4.83,52.56,19.03,25.16,31.34,20.94,8.59,-0.89,-0.31,26.04,8.74,1.6,-0.57,-0.52,-0.36
