,age,salary
0,49,19
1,98,87
2,1,40
3,46,39
4,82,97
5,41,23
6,35,24
7,54,92
8,65,69
9,9,43
10,38,73
11,43,27
12,75,62
13,89,69
14,35,83
15,34,50
16,14,42
17,87,87
18,20,36
19,2,65
20,24,78
21,65,28
22,13,97
23,1,80
24,74,23
25,59,67
26,44,63
27,44,33
28,19,93
29,50,36
30,1,6
31,72,51
32,15,71
33,65,26
34,2,79
35,66,56
36,62,81
37,66,29
38,67,89
39,39,48
40,27,54
41,85,46
42,34,94
43,79,86
44,40,93
45,28,51
46,47,13
47,29,39
48,9,29
49,4,27
50,68,51
51,58,8
52,5,10
53,5,85
54,8,23
55,40,43
56,21,72
57,91,7
58,48,11
59,89,84
60,10,24
61,10,39
62,71,42
63,27,54
64,53,54
65,82,37
66,45,85
67,36,98
68,78,98
69,92,33
70,94,38
71,55,29
72,10,31
73,97,19
74,79,6
75,97,69
76,72,59
77,18,67
78,82,4
79,27,67
80,85,12
81,92,9
82,67,1
83,88,21
84,3,66
85,1,86
86,72,64
87,96,74
88,16,21
89,43,24
90,67,6
91,56,74
92,17,35
93,72,41
94,90,93
95,62,99
96,49,41
97,37,17
98,49,60
99,74,18
